lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1138_translation,version_1139_translation,version_1140_translation,version_1141_translation,version_1142_translation,version_1143_translation,english_translation
ἀδελφός,315,unigram,masculine,accusative,plural,rahalahy,7.365413834148329,rahalahiny,rahalahy,tampo,tampo,rahalahy,rahalahy,brother
ἀδελφός,130,unigram,masculine,accusative,singular,rahalahiny,16.26241558543561,rahalahiny,rahalahiny,mirahalahy,mirahalahy,rahalahiny,rahalahiny,brother
ἀδελφός,121,unigram,masculine,nominative,plural,rahalahiny,23.167256735956652,rahalahiny,rahalahiny,rahalahiny,rahalahiny,rahalahiny,rahalahiny,brother
ἀδελφός,246,unigram,masculine,nominative,singular,rahalahiny,3.402479111144763,rahalahiny,rahalahiny,rahalahiny,rahalahiny,rahalahiny,rahalahiny,brother
στῆθος,165,unigram,neuter,accusative,plural,miteha-tratra,1.2013523596909814,nandondòna,miteha-tratra,,,niara-nirohotra,miteha-tratra,"chest, breast"
στῆθος,299,unigram,neuter,accusative,singular,,,tratrany,iza,tratran,tratran,niteny,iza,"chest, breast"
ἀρχιερεύς,259,unigram,masculine,accusative,plural,lohandoha-mpisorona,10.039982531326382,mpisorona,lohan,lohandoha-mpisorona,lohandoha-mpisorona,lehiben,lohan'ny,chief priest
ἀρχιερεύς,68,unigram,masculine,accusative,singular,,,mpisorona,mpisoronabe,mpisorombe,mpisorombe,Mpisoronabe,mpisoronabe,chief priest
ἀρχιερεύς,129,unigram,masculine,nominative,plural,lohandoha-mpisorona,21.619236051462618,mpisorona,lohan,lohandoha-mpisorona,lohandoha-mpisorona,lehiben,lohan'ny,chief priest
ἀρχιερεύς,263,unigram,masculine,nominative,singular,,,mpisorona,mpisoronabe,mpisorombe,mpisorombe,Mpisoronabe,mpisoronabe,chief priest
παῖς,250,unigram,masculine,accusative,plural,tezitra,2.7516201459782734,,tezitra,,,tezitra,tezitra,child
παῖς,54,unigram,masculine,accusative,singular,nampihinjitrinjitra,1.5666546327118782,nakapony,nampihinjitrinjitra,an-drainy,an-drainy,nampihinjitrinjitra,nampihinjitrinjitra,child
τέκνον,350,unigram,neuter,accusative,plural,zanaka,37.041216986081615,zanaka,zanaka,zanaka,zanaka,zanaka,zanaka,child
τέκνον,190,unigram,neuter,accusative,singular,rahalahiny,2.4123119343805275,rahalahiny,rahalahiny,hampanameloka,hampanameloka,rahalahiny,rahalahiny,child
τέκνον,18,unigram,neuter,nominative,plural,hampanameloka,1.141963006758445,rahalahy,,hampanameloka,hampanameloka,hahafaty,,child
τέκνον,205,unigram,neuter,nominative,singular,,,anaka,Anaka,anaka,anaka,Anaka,Anaka,child
παιδίον,16,unigram,neuter,accusative,plural,raràna,1.2104468273302875,hanatona,rarana,raràna,raràna,zaza,raràna,child
παιδίον,99,unigram,neuter,accusative,singular,zaza,1.2599646226896473,Zazakely,zaza,zazakely,zazakely,zaza,zaza,child
παιδίον,183,unigram,neuter,nominative,plural,zazakely,10.282463003282203,zazakely,zazakely,,,zazakely,zazakely,child
παιδίον,44,unigram,neuter,nominative,singular,zaza,18.975877138210105,zazakely,zaza,zaza,zaza,zaza,zaza,child
πόλις,194,unigram,feminine,accusative,plural,tanàna,9.329675786732803,tanàna,tanàna,tanàna,tanàna,tanàna,tanàna,city
πόλις,72,unigram,feminine,accusative,singular,an-tanàna,4.415300596859288,an-tanàna,an-tanàna,tanàna,tanàna,an-tanàna,an-tanàna,city
πύλη,219,unigram,feminine,nominative,singular,èty,1.9647738717906542,ety,èty,èty,èty,ety,èty,city gate
χιτών,125,unigram,masculine,accusative,plural,akanjo,12.125560895934159,akanjo,akanjo,akanjo,akanjo,akanjo,akanjo,"clothing, undergarments"
ἱμάτιον,140,unigram,neuter,accusative,plural,lambany,2.4086006590750997,fitafiany,lambany,lambany,lambany,lambany,lambany,coat
ἱμάτιον,139,unigram,neuter,accusative,singular,,,,lamba,lambany,lambany,akanjony,lamba,coat
ἐντολή,90,unigram,feminine,accusative,plural,didiko,1.8492287601123878,didiko,didiko,didiko,didiko,didiko,didiko,commandment
ἐντολή,88,unigram,feminine,accusative,singular,didin,6.287747066296925,didin,didin,didin,didin,didin,didin'Andriamanitra,commandment
συνέδριον,335,unigram,neuter,accusative,plural,mitandrema,2.0881098413454957,,,,,mitandrema,,council
συνέδριον,58,unigram,neuter,accusative,singular,,,mpanolo-tsaina,Synedriona,Fitsarana,Fitsarana,lehiben,Synedriona,council
χώρα,304,unigram,feminine,accusative,singular,,,Gerasena,tanin,faritanin,faritanin,tanin,tanin'ny,"country, countryside"
ὄχλος,64,unigram,masculine,accusative,plural,vahoaka,21462.09393023046,vahoaka,vahoaka,vahoaka,vahoaka,vahoaka,vahoaka,crowd
ὄχλος,10,unigram,masculine,accusative,singular,vahoaka,79760.9713875407,vahoaka,vahoaka,vahoaka,vahoaka,vahoaka,vahoaka,crowd
ὄχλος,108,unigram,masculine,nominative,plural,vahoaka,1342.07399164869,vahoaka,vahoaka,vahoaka,vahoaka,vahoaka,vahoaka,crowd
ὄχλος,295,unigram,masculine,nominative,singular,vahoaka,1491.6232711609123,vahoaka,vahoaka,vahoaka,vahoaka,vahoaka,vahoaka,crowd
θυγάτηρ,329,unigram,feminine,nominative,singular,vavy,17.93652228229342,vavy,zanakavavy,vavy,vavy,vavy,zanakavavy,daughter
ἡμέρα,83,unigram,feminine,accusative,plural,,,andro,afaka,andro,andro,afaka,afaka,day
ἡμέρα,93,unigram,feminine,accusative,singular,andro,3.4324688171190796,andro,isan-andro,andro,andro,isanandro,isan'andro,day
ἡμέρα,2,unigram,feminine,nominative,plural,andro,627.2513399510747,andro,andro,andro,andro,andro,andro,day
ἡμέρα,74,unigram,feminine,nominative,singular,andro,120.37981024589666,andro,andro,andro,andro,andro,andro,day
ὀφειλέτης,131,unigram,masculine,nominative,singular,nidinika,1.3486237585650054,ananany,nidinika,,,talenta*,nidinika,debtor
δαιμόνιον,33,unigram,neuter,accusative,plural,demony,49.41876049941082,demony,demonia,demony,demony,demonia*,demonia,demon
δαιμόνιον,345,unigram,neuter,accusative,singular,,,demony,demonia,ondranondranana,ondranondranana,demonia*,demonia,demon
δαιμόνιον,207,unigram,neuter,nominative,plural,,,demony,demonia,demony,demony,demonia,demonia,demon
δαιμόνιον,181,unigram,neuter,nominative,singular,,,demony,demonia,demony,demony,demonia,demonia,demon
δηνάριον,320,unigram,neuter,accusative,plural,,,denie,denaria,denàry,denàry,denaria*,denaria,denarius (about a day's wages)
δηνάριον,170,unigram,neuter,accusative,singular,,,denie,denaria,denàry,denàry,denaria*,denaria,denarius (about a day's wages)
μαθητής,188,unigram,masculine,accusative,plural,mpianany,981.8706775353452,mpianany,mpianany,mpianany,mpianany,mpianany,mpianany,disciple
μαθητής,351,unigram,masculine,accusative,singular,mpianatra,4.897485345677429,malalan,mpianatra,mpianatra,mpianatra,mpianatra,mpianatra,disciple
μαθητής,288,unigram,masculine,nominative,plural,mpianany,33.99793402187341,mpianany,mpianany,mpianany,mpianany,mpianany,mpianany,disciple
μαθητής,349,unigram,masculine,nominative,singular,mpianatra,943.3342711337617,mpianatra,mpianatra,mpianatra,mpianatra,mpianatra,mpianatra,disciple
νόσος,81,unigram,feminine,accusative,singular,rofy,1.6933190153360707,rofy,rofy,rofy,rofy,rofy,rofy,disease
περιστερά,107,unigram,feminine,accusative,plural,,,,voromailala,mpivarotra,mpivarotra,,voromailala,dove
περιστερά,60,unigram,feminine,accusative,singular,voromahailala,2.1283839417258186,voromahailala,voromailala,voromahailala,voromahailala,voromailala,amboniny,dove
οὖς,158,unigram,neuter,accusative,plural,manan-tsofina,3.906056736164563,manan-tsofina,manan-tsofina,manan-tsofina,manan-tsofina,manan-tsofina,manan-tsofina,ear
οὖς,294,unigram,neuter,accusative,singular,,,mazava,tampon-trano,an-tampon-trano,an-tampon-trano,maizina,tampon-trano,ear
σεισμός,213,unigram,masculine,nominative,plural,horohorontany,1.536286472977227,horohoron-tany,horohorontany,horohorontany,horohorontany,horohoron-tany,horohorontany,"earthquakes, storm"
σεισμός,70,unigram,masculine,nominative,singular,mafy,1.3018875603592415,mafy,mafy,mahery,mahery,mafy,mafy,"earthquakes, storm"
τέλος,36,unigram,neuter,accusative,plural,olon-kafa,1.425533823557054,olon-kafa,,,,,,end
τέλος,285,unigram,neuter,accusative,singular,farany,2.4318146108571512,farany,farany,farany,farany,farany,farany,end
αἰών,251,unigram,masculine,accusative,plural,hanam-pahataperana,1.900666289988239,hanam-pahataperana,hanam-pahataperana,,,hanam-pahataperana,hanam-pahataperana,eternity
αἰών,316,unigram,masculine,accusative,singular,mandrakizay,726.0665563195491,mandrakizay,mandrakizay,oviana,oviana,mandrakizay,mandrakizay,eternity
ὀφθαλμός,25,unigram,masculine,accusative,plural,masony,6.307641214351462,masony,masony,maso,maso,masony,masony,eye
