lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1156_translation,version_1157_translation,english_translation
συνέδριον,42,unigram,neuter,accusative,singular,pa'bisara,1.3939807458002142,pa'bisara,,council
χώρα,241,unigram,feminine,accusative,singular,Gerasa,1.09356462431363,Gerasa,,"country, countryside"
ὄχλος,46,unigram,masculine,accusative,plural,buda,1.9054606796346527,buda,,crowd
ὄχλος,7,unigram,masculine,accusative,singular,buda,1.445769364385772,buda,,crowd
ὄχλος,83,unigram,masculine,nominative,plural,buda,1.5058171095629125,buda,,crowd
ὄχλος,232,unigram,masculine,nominative,singular,tau,1.0148350330740945,tau,,crowd
θυγάτηρ,263,unigram,feminine,nominative,singular,anakku,1.053798363792261,anakku,,daughter
ἡμέρα,61,unigram,feminine,accusative,plural,appa,1.218997317168513,appa,,day
ἡμέρα,69,unigram,feminine,accusative,singular,Kusanga,1.057360743240946,Kusanga,,day
ἡμέρα,1,unigram,feminine,nominative,plural,attunna,1.8484521116695176,attunna,,day
ἡμέρα,55,unigram,feminine,nominative,singular,allo,1.2790548113638869,allo,,day
δαιμόνιον,24,unigram,neuter,accusative,plural,setang,1.3440615198144237,setang,,demon
δαιμόνιον,277,unigram,neuter,accusative,singular,setang,2.6047404086331776,setang,,demon
δαιμόνιον,160,unigram,neuter,nominative,plural,setang,1.7701914755736312,setang,,demon
δαιμόνιον,143,unigram,neuter,nominative,singular,mallai,1.0045173629286273,mallai,,demon
δηνάριον,256,unigram,neuter,accusative,plural,dinar,1.1977955435697316,dinar,,denarius (about a day's wages)
δηνάριον,132,unigram,neuter,accusative,singular,dinar,2.1631559133949287,dinar,,denarius (about a day's wages)
μαθητής,147,unigram,masculine,accusative,plural,passikolana,5.877860656420922,passikolana,,disciple
μαθητής,283,unigram,masculine,accusative,singular,passikola,1.2419731931873748,passikola,,disciple
μαθητής,225,unigram,masculine,nominative,plural,passikolana,8.852939084154444,passikolana,,disciple
μαθητής,281,unigram,masculine,nominative,singular,passikolae,1.1562399858093917,passikolae,,disciple
νόσος,60,unigram,feminine,accusative,singular,rammun,1.1424589815544388,rammun,,disease
περιστερά,82,unigram,feminine,accusative,plural,dangan-dangan,1.5814513501327985,dangan-dangan,,dove
οὖς,123,unigram,neuter,accusative,plural,talinga,1.2750754196981535,talinga,,ear
οὖς,231,unigram,neuter,accusative,singular,kamban,1.0308168158502686,kamban,,ear
σεισμός,51,unigram,masculine,nominative,singular,kamai,1.2050834344936463,kamai,,"earthquakes, storm"
τέλος,222,unigram,neuter,accusative,singular,kasuppikanna,1.084928531702361,kasuppikanna,,end
αἰών,252,unigram,masculine,accusative,singular,lako-lakona,1.966797820287745,lako-lakona,,eternity
ὀφθαλμός,18,unigram,masculine,accusative,plural,paita,3.3746868851845013,paita,,eye
ὀφθαλμός,52,unigram,masculine,nominative,plural,paita,1.3775809449871659,paita,,eye
ὀφθαλμός,249,unigram,masculine,nominative,singular,matammu,2.059612789419011,matammu,,eye
λιμός,6,unigram,feminine,nominative,plural,karorian,1.0596616275729611,karorian,,famine
γεωργός,206,unigram,masculine,nominative,plural,mantesan,1.340169631191079,mantesan,,"farmer, tenant"
γεωργός,39,unigram,masculine,nominative,singular,tonganne,1.0962947350724574,tonganne,,"farmer, tenant"
πατήρ,255,unigram,masculine,accusative,singular,Ambeku,2.051971512499424,Ambeku,,father
πατήρ,262,unigram,masculine,nominative,plural,andean,1.1598533892194545,andean,,father
πατήρ,152,unigram,masculine,nominative,singular,Ambeku,3.3337415429851616,Ambeku,,father
σύνδουλος,117,unigram,masculine,accusative,plural,ungkambeimo,1.1616538535693444,ungkambeimo,,"fellow-servant, colleague"
σύνδουλος,72,unigram,masculine,accusative,singular,sipato'ko,1.2560657348737352,sipato'ko,,"fellow-servant, colleague"
ἀγρός,276,unigram,masculine,accusative,plural,bai,1.1708430745470195,bai,,field
ἀγρός,30,unigram,masculine,accusative,singular,salaoan,1.0280552646474608,salaoan,,field
δάκτυλος,146,unigram,masculine,accusative,singular,Tomas,1.6948356583535729,Tomas,,finger
ἰχθύς,126,unigram,masculine,accusative,plural,roti,1.0428650426196424,roti,,fish
ἰχθύς,155,unigram,masculine,accusative,singular,be'dok,1.2988209660214871,be'dok,,fish
δίκτυον,90,unigram,neuter,accusative,plural,dalana,2.4984354962805537,dalana,,fishing net
δίκτυον,162,unigram,neuter,accusative,singular,dalana,1.428122818786824,dalana,,fishing net
τροφή,272,unigram,feminine,accusative,singular,untawa,1.0962498059215229,untawa,,food
πούς,194,unigram,masculine,accusative,plural,lentekna,1.5475891583549133,lentekna,,foot
πούς,93,unigram,masculine,accusative,singular,batu,1.173610826147926,batu,,foot
καρπός,190,unigram,masculine,accusative,singular,kembua,4.06982989697412,kembua,,"fruit, crop, harvest"
πλήρωμα,220,unigram,neuter,accusative,plural,baka,1.4143458629805956,baka,,fullness
γενεά,191,unigram,feminine,accusative,singular,lapik,1.5466885628765308,lapik,,generation
γενεά,122,unigram,feminine,nominative,singular,lapik,1.153166043529785,lapik,,generation
δῶρον,254,unigram,neuter,accusative,plural,ummitami,1.2806713323133898,ummitami,,gift
δῶρον,134,unigram,neuter,accusative,singular,bua,1.2944580123646543,bua,,gift
ἡγεμών,141,unigram,masculine,accusative,plural,dibaakoa,1.180068905728938,dibaakoa,,"governor, ruler"
ἡγεμών,8,unigram,masculine,accusative,singular,sabattamo,1.2130742027464072,sabattamo,,"governor, ruler"
σταφυλή,151,unigram,feminine,accusative,plural,muitami,1.0962348723128241,muitami,,grapes
σταφυλή,285,unigram,feminine,accusative,singular,diissanan,1.0596518186078558,diissanan,,grapes
ἀσπασμός,265,unigram,masculine,accusative,plural,napa'tabe,1.1423224186388239,napa'tabe,,greeting
ἀσπασμός,142,unigram,masculine,accusative,singular,kedo,1.161671593281553,kedo,,greeting
ὁδηγός,4,unigram,masculine,nominative,plural,Parandan,1.0596550866867382,Parandan,,guide
ὁδηγός,2,unigram,masculine,nominative,singular,untette,1.1638215900446345,untette,,guide
χείρ,258,unigram,feminine,accusative,plural,limanna,1.2609125114061124,limanna,,hand
χείρ,179,unigram,feminine,accusative,singular,limanna,2.3367455747762818,limanna,,hand
κεφαλή,115,unigram,feminine,accusative,plural,ummiling-iling,1.3448177453364845,ummiling-iling,,head
κεφαλή,167,unigram,feminine,accusative,singular,ulunna,1.574292655689305,ulunna,,head
στάχυς,168,unigram,masculine,accusative,plural,gandum,1.0529894223900194,gandum,,head of grain
καρδία,234,unigram,feminine,accusative,singular,pikki'na,1.483553783505075,pikki'na,,heart
καρδία,156,unigram,feminine,nominative,singular,penawammu,1.429572119186883,penawammu,,heart
οὐρανός,216,unigram,masculine,accusative,singular,langi,1.5842609834316637,langi,,"heaven, sky"
οὐρανός,289,unigram,masculine,nominative,plural,urrampoii,1.0969341517990476,urrampoii,,"heaven, sky"
ὥρα,20,unigram,feminine,nominative,singular,attunna,2.713940222019397,attunna,,hour
οἰκία,128,unigram,feminine,accusative,plural,banuanna,1.3164412824552127,banuanna,,house
οἰκία,269,unigram,feminine,accusative,singular,banuanna,1.2884090382233049,banuanna,,house
οἶκος,229,unigram,masculine,accusative,plural,kukabuttui,1.0598171799710805,kukabuttui,,"house, home"
οἶκος,17,unigram,masculine,accusative,singular,banuanna,2.341857034516337,banuanna,,"house, home"
κριτής,253,unigram,masculine,nominative,plural,pikki'koa,1.0596616275729611,pikki'koa,,judge
κριτής,136,unigram,masculine,nominative,singular,pa'bisara,1.6052951589677469,pa'bisara,,judge
κλείς,67,unigram,feminine,accusative,plural,untutu,1.0962348723128241,untutu,,key
βασιλεύς,88,unigram,masculine,accusative,plural,dibaakoa,1.1804020177803676,dibaakoa,,king
βασιλεύς,47,unigram,masculine,accusative,singular,tomaraya,1.7582892689711505,tomaraya,,king
βασιλεία,63,unigram,feminine,accusative,plural,paitaii,1.146652439856416,paitaii,,kingdom
βασιλεία,131,unigram,feminine,accusative,singular,kaparentaanna,2.78383903113136,kaparentaanna,,kingdom
κόπος,163,unigram,masculine,accusative,plural,kamapiaan,1.6867585099195308,kamapiaan,,"labour, work, trouble, difficulty"
λύχνος,188,unigram,masculine,nominative,singular,ballo,1.505416467490546,ballo,,lamp
ἄνθρωπος,243,unigram,masculine,accusative,plural,umpalakoi,1.2887209764491074,umpalakoi,,man
ἄνθρωπος,208,unigram,masculine,accusative,singular,ungkadakei,1.0599945961571815,ungkadakei,,man
ἄνθρωπος,145,unigram,masculine,nominative,singular,mesa,2.547310026165708,mesa,,man
ἀνήρ,120,unigram,masculine,nominative,plural,muane,1.2566232308428609,muane,,"man, husband"
μνᾶ,245,unigram,feminine,accusative,plural,bulawan,1.2965085001302803,bulawan,,mina (about 100 days' wages)
μνᾶ,9,unigram,feminine,accusative,singular,Alaia,1.0962498059215229,Alaia,,mina (about 100 days' wages)
πρωτοκαθεδρία,86,unigram,feminine,accusative,plural,tingngayo,1.2363229391744408,tingngayo,,"most important seat, seat of honour"
μήτηρ,79,unigram,feminine,accusative,plural,sondana,1.0965172048072145,sondana,,mother
μήτηρ,226,unigram,feminine,accusative,singular,indona,1.4480920844088498,indona,,mother
ὄρος,176,unigram,neuter,accusative,plural,tanete,1.199011941831492,tanete,,mountain
ὄρος,214,unigram,neuter,accusative,singular,tanete,1.2411643656014597,tanete,,mountain
μύρον,70,unigram,neuter,accusative,plural,napabonangngian,1.1065371013732035,napabonangngian,,myrrh
ὄνομα,25,unigram,neuter,accusative,singular,nakabassikoa,1.104120810783377,nakabassikoa,,name
ὄνομα,204,unigram,neuter,nominative,singular,disanga,1.4600363343884837,disanga,,name
ἔθνος,186,unigram,neuter,accusative,plural,dipalanda,1.1677515180906792,dipalanda,,nation
ἔθνος,157,unigram,neuter,accusative,singular,sipa'barean,1.0522358658749429,sipa'barean,,nation
ἔθνος,248,unigram,neuter,nominative,plural,napeang,1.0414229563323645,napeang,,nation
ἔθνος,21,unigram,neuter,nominative,singular,sipa'barean,1.0501536601371446,sipa'barean,,nation
ὅρκος,48,unigram,masculine,accusative,plural,nasumbala,1.454089240455843,nasumbala,,oath
βοῦς,125,unigram,masculine,accusative,plural,umpa'petukasan,1.0596583563413178,umpa'petukasan,,ox
παραβολή,212,unigram,feminine,accusative,plural,tandengan,1.084497312386656,tandengan,,parable
παραβολή,180,unigram,feminine,accusative,singular,tandengan,3.849456490459318,tandengan,,parable
μέρος,288,unigram,neuter,accusative,plural,lembangna,2.269127138528725,lembangna,,part
μέρος,41,unigram,neuter,accusative,singular,pa'tibeanni,1.4268148507550735,pa'tibeanni,,part
μαργαρίτης,27,unigram,masculine,accusative,singular,mutiarae,1.2935541321950283,mutiarae,,pearls
τόπος,242,unigram,masculine,accusative,singular,angngenan,2.286537587227924,angngenan,,place
πρωτοκλισία,224,unigram,feminine,accusative,plural,ma'loko,1.0369997183842534,ma'loko,,place of honor
πρωτοκλισία,26,unigram,feminine,accusative,singular,ma'loko,1.2876703379965675,ma'loko,,place of honor
ὄφις,85,unigram,masculine,accusative,singular,ula,1.6317963660956196,ula,,poison
σκεῦος,111,unigram,neuter,accusative,plural,napungo,1.1800028776991272,napungo,,"possession, object, thing, jar, vessel"
σκεῦος,207,unigram,neuter,accusative,singular,mambaa,1.1616538535693444,mambaa,,"possession, object, thing, jar, vessel"
σκεῦος,103,unigram,neuter,nominative,plural,sali-sali,1.2130009078884143,sali-sali,,"possession, object, thing, jar, vessel"
δύναμις,87,unigram,feminine,accusative,plural,memangnga-mangnga,1.1315563207562385,memangnga-mangnga,,"power, ability, miracle"
δύναμις,65,unigram,feminine,nominative,plural,memangnga-mangnga,1.1398555111009083,memangnga-mangnga,,"power, ability, miracle"
δύναμις,95,unigram,feminine,nominative,singular,kakuasaanna,1.0664524496052952,kakuasaanna,,"power, ability, miracle"
ἱερεύς,15,unigram,masculine,nominative,plural,sangka'na,1.096269750621428,sangka'na,,priest
ἱερεύς,198,unigram,masculine,nominative,singular,imam,1.0506602727125782,imam,,priest
φυλακή,209,unigram,feminine,accusative,plural,pa'kambi'na,1.1065022697234972,pa'kambi'na,,prison
προφήτης,50,unigram,masculine,accusative,plural,nabi,2.6817879717835824,nabi,,prophet
προφήτης,161,unigram,masculine,accusative,singular,nabi,3.4677304878325783,nabi,,prophet
προφήτης,181,unigram,masculine,nominative,plural,nabi,4.395125258793726,nabi,,prophet
προφήτης,215,unigram,masculine,nominative,singular,nabi,4.077478195734096,nabi,,prophet
βαλλάντιον,14,unigram,neuter,accusative,singular,bakku,1.6347295838489984,bakku,,purse
ποταμός,139,unigram,masculine,nominative,singular,dipasirapan,1.3452503968245946,dipasirapan,,river
λῃστής,287,unigram,masculine,accusative,singular,ussakkana,1.0812978054453777,ussakkana,,robber
λῃστής,266,unigram,masculine,nominative,plural,kadake,1.1163436651443863,kadake,,robber
ἄρχων,165,unigram,masculine,accusative,plural,Urrempummi,1.535052273964418,Urrempummi,,ruler
ἄρχων,54,unigram,masculine,nominative,plural,perepi'ta,1.7659562185635616,perepi'ta,,ruler
ἄρχων,261,unigram,masculine,nominative,singular,ungkuasai,1.1239919803435363,ungkuasai,,ruler
ἀκοή,62,unigram,feminine,accusative,singular,napelele,1.3312757083052729,napelele,,rumor
ἀκοή,133,unigram,feminine,nominative,plural,parangngi,1.203120770578767,parangngi,,rumor
ἀκοή,275,unigram,feminine,nominative,singular,Tappa,1.4800742317994426,Tappa,,rumor
βιβλίον,43,unigram,neuter,accusative,singular,sura,1.394875275513412,sura,,"scroll, book"
