lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_737_translation,version_738_translation,version_739_translation,english_translation
παιδίον,38,unigram,neuter,nominative,singular,dijete,3.2124844212089907,dijete,dijete,,child
πόλις,177,unigram,feminine,accusative,plural,gradove,3.245347632924718,gradove,gradove,,city
πόλις,63,unigram,feminine,accusative,singular,grad,84.56625131158631,grad,grad,grad,city
πύλη,260,unigram,feminine,nominative,plural,nadvladati,1.0960622061228922,nadvladati,,,city gate
πύλη,199,unigram,feminine,nominative,singular,uska,1.9073338371095045,uska,uska,uska,city gate
χιτών,113,unigram,masculine,accusative,plural,,,košulje,hranu,štap,"clothing, undergarments"
χιτών,29,unigram,masculine,accusative,singular,košulju,2.7992782015716084,košulju,košulju,košulju,"clothing, undergarments"
ἱμάτιον,127,unigram,neuter,accusative,plural,odjeću,8.90202730233316,odjeću,odjeću,odjeću,coat
ἱμάτιον,126,unigram,neuter,accusative,singular,ogrtač,5.662310741164053,odjeću,ogrtač,ogrtač,coat
ἐντολή,81,unigram,feminine,accusative,plural,zapovijedi,13.515629382736265,zapovijedi,zapovijedi,zapovijedi,commandment
ἐντολή,79,unigram,feminine,accusative,singular,zapovijed,5.779876627111074,zapovijed,zapovijed,,commandment
συνέδριον,312,unigram,neuter,accusative,plural,,,vijećima,sinagogama,bičevati,council
συνέδριον,50,unigram,neuter,accusative,singular,,,Vijeće,vodeći,vijeće,council
χώρα,282,unigram,feminine,accusative,singular,kraj,2.5640620287247398,kraj,kraj,kraj,"country, countryside"
ὄχλος,55,unigram,masculine,accusative,plural,mnoštvo,2.9454791079938625,mnoštvo,narod,mnoštvo,crowd
ὄχλος,9,unigram,masculine,accusative,singular,mnoštvo,16.275851264388976,mnoštvo,mnoštvo,mnoštvo,crowd
ὄχλος,96,unigram,masculine,nominative,plural,mnoštvo,33.03952331786583,mnoštvo,mnoštvo,mnoštvo,crowd
ὄχλος,273,unigram,masculine,nominative,singular,mnoštvo,15.967360160122617,mnoštvo,mnoštvo,mnoštvo,crowd
θυγάτηρ,306,unigram,feminine,nominative,singular,kći,5.484379430819871,kći,kći,,daughter
ἡμέρα,74,unigram,feminine,accusative,plural,dana,60.33733025551468,dana,dana,dana,day
ἡμέρα,85,unigram,feminine,accusative,singular,dan,14.739817508993914,dan,dan,dan,day
ἡμέρα,2,unigram,feminine,nominative,plural,dani,4.236311478177943,dani,vrijeme,dani,day
ἡμέρα,65,unigram,feminine,nominative,singular,dan,17.151872483199067,dan,dan,dan,day
ὀφειλέτης,119,unigram,masculine,nominative,singular,obračunavati,1.2125176900525536,obračunavati,,,debtor
δαιμόνιον,30,unigram,neuter,accusative,plural,,,đavle,duhove,zloduhe,demon
δαιμόνιον,322,unigram,neuter,accusative,singular,,,đavla,duhom,,demon
δαιμόνιον,187,unigram,neuter,nominative,plural,,,đavli,duhovi,zlodusi,demon
δαιμόνιον,166,unigram,neuter,nominative,singular,,,đavao,duh,zloduh,demon
δηνάριον,298,unigram,neuter,accusative,plural,,,dinara,srebrnjaka,dugovao,denarius (about a day's wages)
δηνάριον,156,unigram,neuter,accusative,singular,,,dinar,srebrnjak,,denarius (about a day's wages)
μαθητής,172,unigram,masculine,accusative,plural,učenicima,1.7000119349311285,učenicima,učenicima,učenicima,disciple
μαθητής,327,unigram,masculine,accusative,singular,,,koga,volio,osobito,disciple
μαθητής,266,unigram,masculine,nominative,plural,učenici,21.0059313886593,učenici,učenici,učenici,disciple
μαθητής,325,unigram,masculine,nominative,singular,učenik,78.83108610482567,učenik,učenik,učenik,disciple
νόσος,3,unigram,feminine,accusative,plural,bolesti,2.7390586189968658,bolesti,,bolesti,disease
νόσος,73,unigram,feminine,accusative,singular,,,nemoć,,bolesti,disease
περιστερά,95,unigram,feminine,accusative,plural,golubova,1.2388007911542749,golubova,golubova,trgovce,dove
περιστερά,52,unigram,feminine,accusative,singular,goluba,1.8528128851195602,goluba,goluba,goluba,dove
οὖς,145,unigram,neuter,accusative,plural,uši,1.9249473069652623,uši,sluša,uši,ear
οὖς,272,unigram,neuter,accusative,singular,uho,2.1549921291604264,uho,uho,krovova,ear
σεισμός,193,unigram,masculine,nominative,plural,potresa,1.4436957127905445,,potresa,potresa,"earthquakes, storm"
σεισμός,61,unigram,masculine,nominative,singular,,,gle,,Odjednom,"earthquakes, storm"
τέλος,263,unigram,neuter,accusative,singular,kraja,1.340765128160735,,kraja,kraja,end
αἰών,294,unigram,masculine,accusative,singular,zauvijek,2.3155463197736843,zauvijek,zauvijek,zauvijek,eternity
ὀφθαλμός,22,unigram,masculine,accusative,plural,oči,8.317007382085492,oči,oči,vid,eye
ὀφθαλμός,10,unigram,masculine,accusative,singular,zub,1.523947129119636,,zub,zub,eye
ὀφθαλμός,62,unigram,masculine,nominative,plural,oči,25.181667144628374,oči,oči,oči,eye
ὀφθαλμός,291,unigram,masculine,nominative,singular,,,oko,ispunjen,,eye
πρόσωπον,183,unigram,neuter,accusative,singular,,,lice,licem,,face
λιμός,7,unigram,feminine,nominative,plural,potresa,1.2378293523500483,,potresa,,famine
γεωργός,243,unigram,masculine,nominative,plural,vinogradari,4.94461557520517,vinogradari,vinogradari,vinogradari,"farmer, tenant"
γεωργός,47,unigram,masculine,nominative,singular,vinogradar,1.201459869218647,vinogradar,,vinogradar,"farmer, tenant"
πατήρ,297,unigram,masculine,accusative,singular,oca,1.2158101384541733,oca,oca,oca,father
πατήρ,305,unigram,masculine,nominative,plural,preci,5.537945368945851,očevi,preci,preci,father
πατήρ,178,unigram,masculine,nominative,singular,Otac,190.5736636926028,Otac,Otac,Otac,father
σύνδουλος,139,unigram,masculine,accusative,plural,pijancima,1.2125536087908515,,pijancima,,"fellow-servant, colleague"
σύνδουλος,309,unigram,masculine,nominative,plural,ispričati,1.0960670999999007,,,ispričati,"fellow-servant, colleague"
σύνδουλος,110,unigram,masculine,nominative,singular,,,,strpljiv,Prijatelj,"fellow-servant, colleague"
ἀγρός,321,unigram,masculine,accusative,plural,,,zemlje,polja,imanja,field
ἀγρός,37,unigram,masculine,accusative,singular,njivu,9.783733855668313,njivu,njivu,njivu,field
δάκτυλος,226,unigram,masculine,accusative,plural,prste,1.0960768946513286,prste,,,finger
δάκτυλος,171,unigram,masculine,accusative,singular,,,prst,,ruku,finger
ἰχθύς,149,unigram,masculine,accusative,plural,ribe,1.4775773518772435,ribe,kruhova,ribe,fish
ἰχθύς,182,unigram,masculine,accusative,singular,ribu,2.4622980498559266,ribu,ribu,zmiju,fish
δίκτυον,104,unigram,neuter,accusative,plural,mreže,21.38224382067434,mreže,mreže,mreže,fishing net
δίκτυον,190,unigram,neuter,accusative,singular,mrežu,1.695886807484495,mrežu,,mrežu,fishing net
δίκτυον,167,unigram,neuter,nominative,plural,razdirale,1.0960965115985384,,,razdirale,fishing net
τροφή,235,unigram,feminine,accusative,plural,,,hranu,kupiti,otišli,food
τροφή,316,unigram,feminine,accusative,singular,,,pravo,razboriti,postavio,food
πούς,228,unigram,masculine,accusative,plural,noge,48.45854318681382,noge,noge,noge,foot
καρπός,176,unigram,masculine,accusative,plural,plodove,2.7825512521055953,plodove,plodove,,"fruit, crop, harvest"
καρπός,224,unigram,masculine,accusative,singular,plod,2.140417144506706,plod,plod,roda,"fruit, crop, harvest"
πλήρωμα,259,unigram,neuter,accusative,plural,punih,1.3314821419087433,punih,punih,punih,fullness
γενεά,225,unigram,feminine,accusative,singular,naraštaj,2.560887064317545,naraštaj,,naraštaj,generation
γενεά,144,unigram,feminine,nominative,singular,naraštaj,3.9291413583827413,naraštaj,naraštaj,naraštaj,generation
δῶρον,296,unigram,neuter,accusative,plural,darove,2.018434743733699,darove,,,gift
δῶρον,157,unigram,neuter,accusative,singular,dar,3.4408715381105077,dar,dar,žrtvenikom,gift
ἡγεμών,165,unigram,masculine,accusative,plural,kraljeve,6.216709705384614,kraljeve,kraljeve,kraljeve,"governor, ruler"
