lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1942_translation,version_1943_translation,version_1944_translation,version_1945_translation,english_translation
παιδίον,14,unigram,neuter,accusative,plural,böylelerinindir,1.1393979305273336,böylelerinindir,böylelerinindir,gibilerindir,бьойлелерининдир,child
παιδίον,84,unigram,neuter,accusative,singular,çocuğu,7.922967014339434,çocuğu,çocuğu,çocuğu,аннесини,child
παιδίον,150,unigram,neuter,nominative,plural,çocuklar,2.0890719463116687,küçük,çocuklar,çocuklar,балъънъз,child
παιδίον,39,unigram,neuter,nominative,singular,çocuk,5.306347827494465,çocuk,çocuk,çocuk,чоджук,child
πόλις,161,unigram,feminine,accusative,plural,,,kent,kentleri,şehirler,кент,city
πόλις,63,unigram,feminine,accusative,singular,kente,12.661988753320443,kente,kente,şehre,кенте,city
πύλη,183,unigram,feminine,nominative,singular,götüren,1.4448777527935421,götüren,götüren,götüren,гьотюрен,city gate
χιτών,103,unigram,masculine,accusative,plural,,,mintan,giysi,,минтан,"clothing, undergarments"
χιτών,28,unigram,masculine,accusative,singular,,,mintanınızı,abanı,,минтанънъзъ,"clothing, undergarments"
ἱμάτιον,116,unigram,neuter,accusative,plural,giysilerini,12.234712158886914,giysilerini,giysilerini,esvabını,гийсилерини,coat
ἱμάτιον,115,unigram,neuter,accusative,singular,abasını,2.483948575770804,abasını,giysisini,abasını,абасънъ,coat
ἐντολή,78,unigram,feminine,accusative,plural,,,buyruklarını,,,буйрукларънъ,commandment
ἐντολή,76,unigram,feminine,accusative,singular,,,,buyruğunu,emrini,,commandment
συνέδριον,281,unigram,neuter,accusative,plural,,,mahkemelere,edecekler,meclislere,махкемелере,council
συνέδριον,51,unigram,neuter,accusative,singular,,,Yüksek,Kurul,başkâhinler,Йюксек,council
χώρα,253,unigram,feminine,accusative,singular,memleketine,1.7794084115633348,memleketine,,memleketine,мемлекетине,"country, countryside"
ὄχλος,55,unigram,masculine,accusative,plural,halkı,3.178591953142663,halka,halkı,halkı,халка,crowd
ὄχλος,8,unigram,masculine,accusative,singular,,,kalabalığı,halkı,,халкъ,crowd
ὄχλος,90,unigram,masculine,nominative,plural,,,kalabalık,Halk,halk,калабалък,crowd
ὄχλος,245,unigram,masculine,nominative,singular,kalabalık,7.141869614096333,kalabalık,kalabalık,kalabalık,калабалък,crowd
θυγάτηρ,276,unigram,feminine,nominative,singular,,,,Kızım,kızı,Къзъм,daughter
ἡμέρα,71,unigram,feminine,accusative,plural,gün,14.539042986530665,gün,gün,gün,гюн,day
ἡμέρα,81,unigram,feminine,accusative,singular,gün,22.222953068247005,gün,gün,gün,гюн,day
ἡμέρα,2,unigram,feminine,nominative,plural,günler,5.883890473217421,günler,günler,günler,гюнлер,day
ἡμέρα,65,unigram,feminine,nominative,singular,,,,ağarınca,gün,Хазърлък,day
ὀφειλέτης,109,unigram,masculine,nominative,singular,getirildi,1.0960524252565438,,,getirildi,,debtor
δαιμόνιον,29,unigram,neuter,accusative,plural,cinleri,15.67941527509477,cinleri,cinleri,cinleri,джинлери,demon
δαιμόνιον,290,unigram,neuter,accusative,singular,cin,8.18995951180096,cin,cin,cin,джин,demon
δαιμόνιον,171,unigram,neuter,nominative,plural,cinler,1.7551543914728993,cinler,cinler,,джинлер,demon
δαιμόνιον,149,unigram,neuter,nominative,singular,cin,4.947529873796502,cin,Cin,cin,джин,demon
δηνάριον,267,unigram,neuter,accusative,plural,dinar,6.664986818174771,dinar,dinar,dinar,динар,denarius (about a day's wages)
δηνάριον,139,unigram,neuter,accusative,singular,dinar,17.833735083961155,dinar,dinar,dinar,динар,denarius (about a day's wages)
μαθητής,155,unigram,masculine,accusative,plural,öğrencilerine,9.15168329073189,öğrencilerine,öğrencilerine,şakirtlerine,ьоренджилерине,disciple
μαθητής,295,unigram,masculine,accusative,singular,sevdiği,6.358572489292037,sevdiği,sevdiği,sevdiği,севдии,disciple
μαθητής,240,unigram,masculine,nominative,plural,öğrencileri,2.643798690870406,öğrencileri,öğrencileri,şakirtleri,ьоренджилери,disciple
μαθητής,293,unigram,masculine,nominative,singular,öğrenci,6.921848919145142,öğrenci,öğrenci,şakirt,ьоренджи,disciple
νόσος,70,unigram,feminine,accusative,singular,,,,hastalığı,zayıflığı,,disease
περιστερά,89,unigram,feminine,accusative,plural,güvercin,4.473123909354098,güvercin,güvercin,güvercin,гюверджин,dove
περιστερά,53,unigram,feminine,accusative,singular,güvercin,7.328164528678993,güvercin,güvercin,güvercin,гюверджин,dove
οὖς,131,unigram,neuter,accusative,plural,işitsin,5.554830673398761,işitsin,işitsin,işitsin,ишитсин,ear
σεισμός,61,unigram,masculine,nominative,singular,,,,,işte,бюйюк,"earthquakes, storm"
τέλος,238,unigram,neuter,accusative,singular,,,kadar,,sona,сонуна,end
αἰών,209,unigram,masculine,accusative,plural,sürecek,1.096185247111637,,,sürecek,,eternity
αἰών,264,unigram,masculine,accusative,singular,sonsuza,2.945784076931725,sonsuza,sonsuza,ebediyen,сонсуза,eternity
ὀφθαλμός,22,unigram,masculine,accusative,plural,gözlerini,26.16419090551451,gözlerini,gözlerini,gözlerini,гьозлерини,eye
ὀφθαλμός,9,unigram,masculine,accusative,singular,Göz,1.0962997391267022,,,Göz,,eye
ὀφθαλμός,62,unigram,masculine,nominative,plural,gözleri,3.546534902960033,gözleri,gözleri,gözleri,гьозлери,eye
ὀφθαλμός,261,unigram,masculine,nominative,singular,gözün,4.212453292791592,gözün,gözün,gözün,гьозюн,eye
πρόσωπον,167,unigram,neuter,accusative,singular,yüzüstü,1.4630905345812955,yüzüstü,yüzüstü,yüzünü,йюзюстю,face
γεωργός,222,unigram,masculine,nominative,plural,bağcılar,1.922205080661176,bağcılar,kiracılar,bağcılar,баджълар,"farmer, tenant"
γεωργός,48,unigram,masculine,nominative,singular,bağcıdır,1.201459869218647,bağcıdır,bağcıdır,,баджъдър,"farmer, tenant"
πατήρ,172,unigram,masculine,accusative,plural,Kulu,1.0602775724410085,,,Kulu,,father
πατήρ,266,unigram,masculine,accusative,singular,,,Baba'yı,Baba'ya,Babaya,Баба,father
πατήρ,275,unigram,masculine,nominative,plural,,,man,,,ман,father
πατήρ,162,unigram,masculine,nominative,singular,Baba,6.586153758738843,Baba,Baba,Baba,Баба,father
σύνδουλος,100,unigram,masculine,nominative,singular,,,Borcumu,,,Борджуму,"fellow-servant, colleague"
ἀγρός,289,unigram,masculine,accusative,plural,topraklarını,1.2248678014748486,topraklarını,,,,field
ἀγρός,38,unigram,masculine,accusative,singular,satın,2.847971477687567,satın,satın,satın,сатън,field
δάκτυλος,154,unigram,masculine,accusative,singular,Tomas,1.6526854825098665,,Tomas,,,finger
ἰχθύς,134,unigram,masculine,accusative,plural,ekmekle,3.0394375971453114,ekmekle,ekmekle,kırıp,екмекле,fish
ἰχθύς,166,unigram,masculine,accusative,singular,yılan,1.06478056812557,,,yılan,,fish
δίκτυον,96,unigram,neuter,accusative,plural,ağlarını,4.944175855476406,ağlarını,ağları,ağlarını,аларънъ,fishing net
δίκτυον,175,unigram,neuter,accusative,singular,ağı,3.6351982185720386,ağı,ağı,ağı,аъ,fishing net
τροφή,214,unigram,feminine,accusative,plural,gitmişlerdi,2.492535764970414,gitmişlerdi,gitmişlerdi,gitmişlerdi,гитмишлерди,food
τροφή,284,unigram,feminine,accusative,singular,,,hizmetkârlarına,Güvenilir,koymuş,хизметкярларъна,food
πούς,206,unigram,masculine,accusative,plural,ayaklarını,1.6759308800779769,ayaklarını,ayaklarını,ayaklarını,аякларънъ,foot
καρπός,160,unigram,masculine,accusative,plural,,,meyve,,,мейве,"fruit, crop, harvest"
καρπός,202,unigram,masculine,accusative,singular,,,meyve,ürün,meyva,мейве,"fruit, crop, harvest"
πλήρωμα,236,unigram,neuter,accusative,plural,dolusu,6.025542021108825,dolusu,dolusu,dolusu,,fullness
γενεά,203,unigram,feminine,accusative,singular,bu,1.0882737890532757,,,bu,,generation
γενεά,273,unigram,feminine,nominative,plural,nesiller,1.9999486339918595,,,nesiller,,generation
γενεά,130,unigram,feminine,nominative,singular,kuşak,7.383901782135764,kuşak,kuşak,nesil,кушак,generation
δῶρον,140,unigram,neuter,accusative,singular,,,sun,adağını,,,gift
ἡγεμών,148,unigram,masculine,accusative,plural,önüne,1.5272995457725076,,,önüne,,"governor, ruler"
ἡγεμών,11,unigram,masculine,accusative,singular,Vali,1.2014275627384847,Vali,Vali,vali,Вали,"governor, ruler"
ἀσπασμός,278,unigram,masculine,accusative,plural,meydanlarda,1.028003582787537,meydanlarda,,,,greeting
ὁδηγός,4,unigram,masculine,nominative,plural,kılavuzlarıdır,1.096057314542422,kılavuzlarıdır,,,,guide
ὁδηγός,3,unigram,masculine,nominative,singular,kılavuzlar,1.9970449307392342,kılavuzlar,,kılavuzlar,кълавузлар,guide
χείρ,269,unigram,feminine,accusative,plural,ellerini,26.645462477267913,ellerini,ellerini,ellerini,еллерини,hand
χείρ,193,unigram,feminine,accusative,singular,elini,4.489394630143335,elini,elini,elini,елини,hand
κεφαλή,180,unigram,feminine,accusative,singular,başını,12.548617856175847,başını,başını,başını,башънъ,head
στάχυς,181,unigram,masculine,accusative,plural,,,,buğday,başakları,,head of grain
καρδία,32,unigram,feminine,accusative,plural,önünde,1.0236426692927585,,önünde,,,heart
καρδία,247,unigram,feminine,accusative,singular,yüreğine,7.13554122745825,yüreğine,yüreğine,yüreğine,йюреине,heart
καρδία,168,unigram,feminine,nominative,singular,,,yürekleri,,yüreği,,heart
οὐρανός,232,unigram,masculine,accusative,singular,göğe,7.133839481019344,göğe,göğe,göke,гьое,"heaven, sky"
οὐρανός,173,unigram,masculine,nominative,singular,gök,1.9511839578014472,gök,gök,Gök,гьок,"heaven, sky"
ὥρα,25,unigram,feminine,nominative,singular,saat,11.472421000901955,saat,saat,saat,саат,hour
οἰκία,282,unigram,feminine,accusative,singular,eve,1.9931808327948135,eve,evini,eve,еве,house
οἶκος,21,unigram,masculine,accusative,singular,evine,124.8716250466869,evine,evine,evine,евине,"house, home"
κριτής,265,unigram,masculine,nominative,plural,,,adamlarınız,,,адамларънъз,judge
κριτής,142,unigram,masculine,nominative,singular,yargıç,2.167220682418041,yargıç,yargıç,hâkim,,judge
βασιλεύς,95,unigram,masculine,accusative,plural,önüne,1.526545374949209,,,önüne,,king
βασιλεύς,56,unigram,masculine,accusative,singular,Pilatus,1.1647902962021748,Yahudiler'in,Pilatus,Pilatus,Яхудилер'ин,king
βασιλεία,74,unigram,feminine,accusative,plural,ülkelerini,1.989532729549478,ülkelerini,ülkelerini,ülkelerini,юлкелерини,kingdom
βασιλεία,138,unigram,feminine,accusative,singular,,,Egemenliği'ne,Hükümranlığı'na,melekûtunu,Егеменлии'не,kingdom
κόπος,176,unigram,masculine,accusative,plural,,,üzüyorsunuz,,incitiyorsunuz,юзюйорсунуз,"labour, work, trouble, difficulty"
λύχνος,200,unigram,masculine,nominative,singular,,,aydınlık,aydınlıktadır,bedenin,айдънлък,lamp
κλῆρος,1,unigram,masculine,accusative,singular,paylaştılar,1.255557782279607,,paylaştılar,,,"lots (casting of lots), inheritance"
ἄνθρωπος,255,unigram,masculine,accusative,plural,insanlara,3.158989373815004,benziyorlar,insanlara,insanlara,бензийорлар,man
ἄνθρωπος,224,unigram,masculine,accusative,singular,adamı,2.3329567988836084,adamı,insanı,adamı,адамъ,man
ἄνθρωπος,104,unigram,masculine,nominative,plural,,,İnsanların,İnsanlar,,Инсанларън,man
ἄνθρωπος,153,unigram,masculine,nominative,singular,adam,17.50526274933116,adam,adam,adam,адам,man
ἀνήρ,215,unigram,masculine,accusative,plural,anda,1.2214240914326997,,anda,,,"man, husband"
ἀνήρ,219,unigram,masculine,accusative,singular,Kadın,1.1491788972026822,,Kadın,,,"man, husband"
ἀνήρ,128,unigram,masculine,nominative,plural,bin,1.404407081675523,bin,bin,erkek,бин,"man, husband"
ἀνήρ,207,unigram,masculine,nominative,singular,adam,6.930820345568415,adam,adam,adam,адам,"man, husband"
μνᾶ,258,unigram,feminine,accusative,plural,,,mina,on,mına,мина,mina (about 100 days' wages)
μνᾶ,12,unigram,feminine,accusative,singular,duranlara,1.161328723715616,,duranlara,,,mina (about 100 days' wages)
πρωτοκαθεδρία,93,unigram,feminine,accusative,plural,,,seçkin,baş,ziyafetlerde,,"most important seat, seat of honour"
μήτηρ,241,unigram,feminine,accusative,singular,annesini,1.5399361062240278,annesini,annesini,anasını,,mother
ὄρος,190,unigram,neuter,accusative,plural,dağlara,1.3699839963258689,,,dağlara,,mountain
ὄρος,230,unigram,neuter,accusative,singular,dağa,2.3693254220227886,dağa,dağa,dağa,даа,mountain
ὄνομα,33,unigram,neuter,accusative,singular,adını,2.4789135817735737,adını,adını,adını,адънъ,name
ὄνομα,220,unigram,neuter,nominative,singular,adı,3.445362220085266,adı,adı,adı,Адън,name
ἔθνος,198,unigram,neuter,accusative,plural,,,bütün,,milletlere,бютюн,nation
ἔθνος,169,unigram,neuter,accusative,singular,krallık,1.2125882277907705,,krallık,,,nation
νύξ,164,unigram,feminine,accusative,plural,gece,7.091822341203733,gece,gece,gece,гедже,night
νύξ,213,unigram,feminine,accusative,singular,gündüz,6.823926423779884,gündüz,gündüz,gündüz,,night
ὅρκος,57,unigram,masculine,accusative,plural,ьонюнде,1.005016956404514,,,,ьонюнде,oath
βοῦς,133,unigram,masculine,accusative,plural,,,para,,,пара,ox
παραβολή,227,unigram,feminine,accusative,plural,,,benzetmeleri,simgesel,meselleri,бензетмелери,parable
παραβολή,194,unigram,feminine,accusative,singular,,,benzetmeyi,simgesel,mesel,бензетмейи,parable
μέρος,299,unigram,neuter,accusative,plural,bölgesine,3.371600611051474,bölgesine,bölgesine,taraflarına,бьолгесине,part
μέρος,50,unigram,neuter,accusative,singular,parça,2.180032456243396,parça,parça,parça,парча,part
μαργαρίτης,35,unigram,masculine,accusative,singular,inci,1.096057314542422,,inci,,,pearls
τόπος,254,unigram,masculine,accusative,singular,yere,9.52985424289805,yere,yere,yere,йере,place
πρωτοκλισία,239,unigram,feminine,accusative,plural,baş,1.8215119756672153,en,baş,baş,,place of honor
πρωτοκλισία,34,unigram,feminine,accusative,singular,baş,2.920928319120726,başköşeye,baş,baş,,place of honor
ὄφις,92,unigram,masculine,accusative,singular,yılan,1.3109734585848272,,yılan,yılan,,poison
σκεῦος,120,unigram,neuter,accusative,plural,yağma,1.0595384180401852,,yağma,,,"possession, object, thing, jar, vessel"
σκεῦος,223,unigram,neuter,accusative,singular,geçirmesine,1.2125536087908515,,geçirmesine,,,"possession, object, thing, jar, vessel"
δύναμις,94,unigram,feminine,accusative,plural,,,mucize,,,муджизе,"power, ability, miracle"
δύναμις,44,unigram,feminine,accusative,singular,gücünü,1.6319774471562443,gücünü,gücünü,kuvvet,гюджюню,"power, ability, miracle"
δύναμις,77,unigram,feminine,nominative,plural,,,mucizeler,yapılan,kudretli,муджизелер,"power, ability, miracle"
δύναμις,101,unigram,feminine,nominative,singular,gücü,2.759627509499462,gücü,gücü,kudreti,гюджю,"power, ability, miracle"
ἱερεύς,210,unigram,masculine,nominative,singular,kâhin,7.9993874985775735,kâhin,kâhin,kâhin,кяхин,priest
φυλακή,24,unigram,feminine,accusative,singular,,,hapse,cezaevine,zindana,хапсе,prison
προφήτης,60,unigram,masculine,accusative,plural,peygamberleri,4.149404679771178,,peygamberleri,peygamberleri,,prophet
προφήτης,174,unigram,masculine,accusative,singular,peygamber,36.06072553658643,peygamber,peygamber,peygamber,пейгамбер,prophet
προφήτης,195,unigram,masculine,nominative,plural,peygamberler,4.0708126239321265,,peygamberler,peygamberler,пейгамберлерин,prophet
προφήτης,231,unigram,masculine,nominative,singular,peygamber,43.87962482479824,peygamber,peygamber,peygamber,пейгамбер,prophet
βαλλάντιον,18,unigram,neuter,accusative,singular,kesesi,1.2923009647397394,,kesesi,,,purse
ποταμός,145,unigram,masculine,nominative,singular,ırmak,1.3873518076295246,ırmak,sular,ırmak,ърмак,river
λῃστής,298,unigram,masculine,accusative,singular,çıkarcasına,1.0441213060493943,,çıkarcasına,,,robber
λῃστής,279,unigram,masculine,nominative,plural,çarmıha,1.3133125867667566,çarmıha,çarmıha,haça,чармъха,robber
ἄρχων,178,unigram,masculine,accusative,plural,,,,yöneticileri,reisleri,,ruler
ἄρχων,64,unigram,masculine,nominative,plural,,,ederek,gerçekten,,,ruler
ἄρχων,274,unigram,masculine,nominative,singular,,,egemeni,başkanı,reisi,егемени,ruler
ἀκοή,6,unigram,feminine,accusative,plural,,,gürültüleri,,,гюрюлтюлери,rumor
ἀκοή,72,unigram,feminine,accusative,singular,rivayeti,1.1613548718850133,,,rivayeti,,rumor
ἀκοή,288,unigram,feminine,nominative,singular,yayıldı,3.0649446966358838,,yayıldı,yayıldı,,rumor
βιβλίον,52,unigram,neuter,accusative,singular,verip,1.581804920660794,verip,verip,,верип,"scroll, book"
διάκονος,83,unigram,masculine,nominative,singular,,,hizmetkârı,isteyen,hizmetçiniz,хизметкяръ,"servant, minister, deacon"
δοῦλος,184,unigram,masculine,accusative,plural,kölelerini,4.693801075154857,kölelerini,kölelerini,hizmetçilerini,кьолелерини,"servant, slave"
δοῦλος,26,unigram,masculine,accusative,singular,gönderdi,1.0673137365263456,,,gönderdi,,"servant, slave"
δοῦλος,91,unigram,masculine,nominative,plural,,,köleler,Köleler,,кьолелер,"servant, slave"
δοῦλος,179,unigram,masculine,nominative,singular,,,köle,Köle,hizmetçi,кьоле,"servant, slave"
πρόβατον,283,unigram,neuter,accusative,plural,koyunlar,1.4665242021006666,,,koyunlar,,sheep
πρόβατον,125,unigram,neuter,accusative,singular,койуну,1.0978727178305543,,,,койуну,sheep
ποιμήν,218,unigram,masculine,nominative,plural,çobanlar,3.5995370630836514,çobanlar,çobanlar,,чобанлар,"shepherd, pastor"
ποιμήν,248,unigram,masculine,nominative,singular,çoban,1.4871617196330544,,,çoban,,"shepherd, pastor"
σημεῖον,122,unigram,neuter,accusative,plural,,,belirtiler,gösterecek,alâmetler,белиртилер,sign
σημεῖον,112,unigram,neuter,accusative,singular,belirti,8.328324250848162,belirti,belirti,alâmet,белирти,sign
σημεῖον,41,unigram,neuter,nominative,plural,belirtiler,4.229136557951832,belirtiler,belirtiler,alâmetler,белиртилер,sign
σημεῖον,82,unigram,neuter,nominative,singular,belirti,3.863092964085088,belirti,belirti,alâmet,белирти,sign
δραχμή,147,unigram,feminine,accusative,singular,,,parayı,gümüş,,парайъ,"silver coin, drachma"
ἀργύριον,189,unigram,neuter,accusative,plural,,,,gümüş,otuz,параларъ,"silver, money"
ἀργύριον,291,unigram,neuter,accusative,singular,para,5.247799680487411,para,para,para,пара,"silver, money"
ἁμαρτία,244,unigram,feminine,accusative,plural,günahları,5.1641071755268095,günahları,günahları,günahları,гюнахларъ,sin
ἁμαρτία,191,unigram,feminine,accusative,singular,olmazdı,3.7306667651737766,olmazdı,şimdi,olmazdı,олмаздъ,sin
ἁμαρτία,251,unigram,feminine,nominative,plural,bağışlandı,6.57987561538898,bağışlandı,bağışlandı,bağışlandı,баъшландъ,sin
ἀδελφή,271,unigram,feminine,accusative,plural,,,kardeşlerini,kız,,,sister
ἀδελφή,117,unigram,feminine,accusative,singular,kız,1.5828297596814505,,kız,,,sister
ἀδελφή,20,unigram,feminine,nominative,plural,,,yaşamıyor,Kız,kızkardeşleri,,sister
ἀδελφή,270,unigram,feminine,nominative,singular,,,,kız,kızkardeşi,,sister
πλοιάριον,204,unigram,neuter,nominative,plural,Taberiyeden,1.0960670999999007,,,Taberiyeden,,small boat
ὀψάριον,159,unigram,neuter,accusative,plural,ekmeğiyle,1.1613200159490846,ekmeğiyle,ekmeğiyle,arpa,,small fish
