lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1513_translation,version_1514_translation,version_1515_translation,version_1516_translation,version_1517_translation,english_translation
τέκνον,178,unigram,neuter,accusative,singular,brat,1.406513268097471,brat,brat,,,brat,child
τέκνον,16,unigram,neuter,nominative,plural,,,rodzicom,Dzieci,rodzicom,,Dzieci,child
τέκνον,190,unigram,neuter,nominative,singular,Synu,4.532643339829921,Synu,Dziecko,twoje,chorego,Synu,child
παιδίον,15,unigram,neuter,accusative,plural,przychodzić,1.3600279831132263,przychodzić,przychodzić,przychodzić,,przychodzić,child
παιδίον,89,unigram,neuter,accusative,singular,dziecko,20.094168288459144,dzieciątko,dziecko,,dziecko,dziecko,child
παιδίον,170,unigram,neuter,nominative,plural,dzieci,9.228718089696187,dziatki,dzieci,dzieci,dzieci,dzieci,child
παιδίον,40,unigram,neuter,nominative,singular,dziecko,52.47644841106334,dzieciątko,dziecko,dziecko,dziecko,dziecko,child
πόλις,181,unigram,feminine,accusative,plural,,,miast,miasta,miasta,miastach,miast,city
πόλις,66,unigram,feminine,accusative,singular,miasta,513.7969831904263,miasta,miasta,miasta,miasta,miasta,city
πύλη,204,unigram,feminine,nominative,singular,,,,brama,,bramę,,city gate
χιτών,114,unigram,masculine,accusative,plural,,,sukien,tunik,,ubrania,,"clothing, undergarments"
χιτών,29,unigram,masculine,accusative,singular,,,płaszcz,tunikę,suknię,koszulę,Temu,"clothing, undergarments"
ἱμάτιον,130,unigram,neuter,accusative,plural,szaty,93.12288188360091,szaty,szaty,szaty,płaszcze,szaty,coat
ἱμάτιον,129,unigram,neuter,accusative,singular,płaszcz,15.22495059103831,płaszcz,płaszcz,płaszcz,płaszcz,płaszcz,coat
ἐντολή,81,unigram,feminine,accusative,plural,przykazania,16.989145538057397,przykazania,przykazania,polecenia,przykazania,przykazania,commandment
ἐντολή,79,unigram,feminine,accusative,singular,przykazanie,2.8823759883853723,przykazania,przykazanie,polecenie,tradycji,przykazanie,commandment
συνέδριον,315,unigram,neuter,accusative,plural,,,rady,sądów,rad,,biczować,council
συνέδριον,53,unigram,neuter,accusative,singular,,,kapłani,,przedniejsi,,zebrali,council
χώρα,286,unigram,feminine,accusative,singular,krainy,11.55273952651016,krainy,kraju,krainy,krainy,krainy,"country, countryside"
ὄχλος,58,unigram,masculine,accusative,plural,tłumy,10.556141030456708,lud,tłumy,tłumy,tłumu,tłumy,crowd
ὄχλος,10,unigram,masculine,accusative,singular,tłum,5.743906268075787,lud,tłum,tłum,tłum,tłum,crowd
ὄχλος,97,unigram,masculine,nominative,plural,tłumy,42.95791908815846,lud,tłumy,tłumy,tłumy,tłumy,crowd
ὄχλος,276,unigram,masculine,nominative,singular,tłum,57.115254605433805,lud,tłum,tłum,tłum,tłum,crowd
θυγάτηρ,309,unigram,feminine,nominative,singular,córka,99.6421604727272,córka,córka,córka,córka,córka,daughter
ἡμέρα,75,unigram,feminine,accusative,plural,dni,7.387417766449159,dni,dni,dni,dni,dniach,day
ἡμέρα,85,unigram,feminine,accusative,singular,dzień,11.303554745443234,dzień,dzień,dzień,codziennie,dnia,day
ἡμέρα,2,unigram,feminine,nominative,plural,dni,1183.9587014863355,dni,dni,dni,dni,dni,day
ἡμέρα,68,unigram,feminine,nominative,singular,dzień,372.31268211425606,dzień,dzień,dzień,dzień,dzień,day
ὀφειλέτης,121,unigram,masculine,nominative,singular,rozliczać,1.1613026128296644,stawiono,,rozliczać,,rozliczać,debtor
δαιμόνιον,30,unigram,neuter,accusative,plural,demony,9.6947770721308,dyjabły,demony,demony,demony,demony,demon
δαιμόνιον,326,unigram,neuter,accusative,singular,demona,18.242818284435828,,demona,demona,demona,demona,demon
δαιμόνιον,192,unigram,neuter,nominative,plural,demony,5.54695230137614,dyjabli,demony,demony,duchów,demony,demon
δαιμόνιον,168,unigram,neuter,nominative,singular,demon,5.1041108820947,dyjabeł,demon,demon,chłopca,demon,demon
δηνάριον,302,unigram,neuter,accusative,plural,groszy,2.131612143489625,groszy,,denarów,równowartość,groszy,denarius (about a day's wages)
δηνάριον,158,unigram,neuter,accusative,singular,,,grosz,denara,denara,monetę,grosz,denarius (about a day's wages)
μαθητής,175,unigram,masculine,accusative,plural,uczniów,97.48290886124052,uczniów,uczniów,uczniów,uczniów,uczniów,disciple
μαθητής,331,unigram,masculine,accusative,singular,ucznia,5.0752250121709865,ucznia,ucznia,ucznia,ucznia,ucznia,disciple
μαθητής,269,unigram,masculine,nominative,plural,uczniowie,958.8705154001788,uczniowie,uczniowie,uczniowie,uczniowie,uczniowie,disciple
μαθητής,329,unigram,masculine,nominative,singular,uczeń,21.237990337345813,uczeń,uczeń,uczeń,uczeń,uczeń,disciple
νόσος,3,unigram,feminine,accusative,plural,choroby,6.500082854465544,choroby,,choroby,,choroby,disease
νόσος,74,unigram,feminine,accusative,singular,wszelkie,1.5779995408800398,,wszelkie,,głosił,wszelkie,disease
περιστερά,96,unigram,feminine,accusative,plural,gołębie,1.9657314406566178,gołębie,gołębi,gołębie,,,dove
περιστερά,55,unigram,feminine,accusative,singular,gołębica,1.838488363338537,gołębicę,gołębica,gołębica,gołąb,gołębica,dove
οὖς,147,unigram,neuter,accusative,plural,uszy,4.327890302532061,uszy,uszy,uszy,uszy,uszy,ear
οὖς,275,unigram,neuter,accusative,singular,ucho,1.5905060226464012,ucho,dachów,świetle,ucho,,ear
σεισμός,64,unigram,masculine,nominative,singular,wielkie,1.7148334839969523,wielkie,,wielkie,,oto,"earthquakes, storm"
τέλος,266,unigram,neuter,accusative,singular,końca,3.9634264102260355,końca,końca,końca,końca,końca,end
αἰών,235,unigram,masculine,accusative,plural,wieki,1.096185247111637,wieki,,,,,eternity
αἰών,298,unigram,masculine,accusative,singular,,,wieki,wieki,wieczność,nigdy,nigdy,eternity
ὀφθαλμός,22,unigram,masculine,accusative,plural,oczy,129.8410355904571,oczy,oczy,oczy,wzrok,oczy,eye
ὀφθαλμός,65,unigram,masculine,nominative,plural,oczy,358.1858220152643,oczy,oczy,oczy,,oczy,eye
ὀφθαλμός,295,unigram,masculine,nominative,singular,oko,6.887042030663609,oko,oko,oko,oko,oko,eye
πρόσωπον,120,unigram,neuter,accusative,plural,twarze,7.999384143057359,swoję,twarze,twarze,,twarze,face
πρόσωπον,187,unigram,neuter,accusative,singular,twarz,6.77062441123376,oblicze,twarz,oblicze,twarz,twarz,face
λιμός,7,unigram,feminine,nominative,plural,krajów,1.0595965010322779,,,,krajów,,famine
λιμός,134,unigram,masculine,nominative,singular,panował,1.096071996175396,,,,,panował,famine
γεωργός,248,unigram,masculine,nominative,plural,rolnicy,2.118916265176639,winiarze,,hodowcy,rolnicy,rolnicy,"farmer, tenant"
