lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2133_translation,version_2134_translation,version_2135_translation,version_2136_translation,english_translation
στῆθος,283,unigram,neuter,accusative,singular,στήθος,12.279177066443232,στήθος,στήθος,στήθος,στῆθός,"chest, breast"
ἀρχιερεύς,239,unigram,masculine,accusative,plural,αρχιερείς,54.07881481007761,αρχιερείς,αρχιερείς,αρχιερείς,ἀρχιερεῖς,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,ἀρχιερέα,1.532442279851575,,,,ἀρχιερέα,chief priest
ἀρχιερεύς,113,unigram,masculine,nominative,plural,αρχιερείς,28.577274697740776,αρχιερείς,αρχιερείς,αρχιερείς,ἀρχιερεῖς,chief priest
ἀρχιερεύς,244,unigram,masculine,nominative,singular,αρχιερέας,50.353087635900096,αρχιερέας,αρχιερέας,αρχιερέας,ἀρχιερεὺς,chief priest
παῖς,230,unigram,masculine,accusative,plural,παιδιά,1.1768904317561546,παιδιά,παιδιά,παιδιά,παιδιὰ,child
παῖς,47,unigram,masculine,accusative,singular,σπαράζει,1.2239945626467905,,σπαράζει,σπαράζει,ἐπροχωροῦσε,child
τέκνον,334,unigram,neuter,accusative,plural,παιδιά,116.81375389134676,παιδιά,παιδιά,παιδιά,παιδιά,child
τέκνον,171,unigram,neuter,accusative,singular,αδερφό,1.0416668384150078,παιδιά,αδερφό,αδερφό,ἀδελφὸς,child
τέκνον,15,unigram,neuter,nominative,plural,πατέρας,1.2139798247341487,πατέρας,πατέρας,πατέρας,παιδιὰ,child
τέκνον,183,unigram,neuter,nominative,singular,,,Παιδί,παιδί,παιδί,Παιδί,child
παιδίον,14,unigram,neuter,accusative,plural,,,τέτοιους,εμποδίζετε,εμποδίζετε,τέτοιους,child
παιδίον,88,unigram,neuter,accusative,singular,παιδί,25.06038097250583,παιδί,παιδί,παιδί,παιδὶ,child
παιδίον,164,unigram,neuter,nominative,plural,παιδιά,7.026256923397466,παιδιά,παιδιά,παιδιά,παιδιά,child
παιδίον,38,unigram,neuter,nominative,singular,παιδί,112.02413218894904,παιδί,παιδί,παιδί,παιδί,child
πόλις,174,unigram,feminine,accusative,plural,πόλεις,17.88558780513614,πόλεις,πόλεις,πόλεις,πόλεις,city
πόλις,63,unigram,feminine,accusative,singular,πόλη,64.86247449225452,πόλη,πόλη,πόλη,πόλιν,city
πύλη,263,unigram,feminine,nominative,plural,κατανικήσουν,1.2013523596909814,,κατανικήσουν,κατανικήσουν,,city gate
πύλη,197,unigram,feminine,nominative,singular,πύλη,1.0595352057902494,πύλη,,,,city gate
χιτών,109,unigram,masculine,accusative,plural,διπλά,2.2337918827862264,δύο,διπλά,διπλά,ὑποκάμισα,"clothing, undergarments"
χιτών,27,unigram,masculine,accusative,singular,πουκάμισο,1.4333622294306945,,πουκάμισο,πουκάμισο,ἐπανωφόρι,"clothing, undergarments"
ἱμάτιον,124,unigram,neuter,accusative,plural,ρούχα,9.909678883274289,ιμάτιά,ρούχα,ρούχα,ἐνδύματά,coat
ἱμάτιον,123,unigram,neuter,accusative,singular,πανωφόρι,5.12509006959322,,πανωφόρι,πανωφόρι,πάρῃ,coat
ἐντολή,79,unigram,feminine,accusative,plural,εντολές,9.5210718480308,εντολές,εντολές,εντολές,ἐντολάς,commandment
ἐντολή,77,unigram,feminine,accusative,singular,εντολή,42.49151919216485,εντολή,εντολή,εντολή,ἐντολὴν,commandment
συνέδριον,319,unigram,neuter,accusative,plural,δικαστήρια,1.3044439053062717,συνέδρια,δικαστήρια,δικαστήρια,παραδώσουν,council
συνέδριον,51,unigram,neuter,accusative,singular,αρχιερείς,1.3459812434414016,αρχιερείς,αρχιερείς,αρχιερείς,ἀρχιερεῖς,council
χώρα,73,unigram,feminine,accusative,plural,λευκά,1.1614335410543388,λευκά,,,,"country, countryside"
χώρα,288,unigram,feminine,accusative,singular,περιοχή,2.2838684629438273,χώρα,περιοχή,περιοχή,χώραν,"country, countryside"
ὄχλος,55,unigram,masculine,accusative,plural,πλήθη,10.93671858386251,πλήθη,πλήθη,πλήθη,πλήθη,crowd
ὄχλος,9,unigram,masculine,accusative,singular,κόσμο,7.3759931477556115,πλήθος,κόσμο,κόσμο,κόσμον,crowd
ὄχλος,95,unigram,masculine,nominative,plural,κόσμος,8.13831018441931,πλήθη,κόσμος,κόσμος,κόσμος,crowd
ὄχλος,278,unigram,masculine,nominative,singular,πλήθος,2.9531911057147737,πλήθος,πλήθος,πλήθος,κόσμος,crowd
θυγάτηρ,107,unigram,feminine,nominative,plural,Θυγατέρες,1.2015462456907173,Θυγατέρες,,,Θυγατέρες,daughter
θυγάτηρ,313,unigram,feminine,nominative,singular,θυγατέρα,25.867579256256512,θυγατέρα,θυγατέρα,θυγατέρα,θυγατέρα,daughter
ἡμέρα,71,unigram,feminine,accusative,plural,μέρες,30.22119831024676,ημέρες,μέρες,μέρες,ἡμέρες,day
ἡμέρα,83,unigram,feminine,accusative,singular,μέρα,2.4196412662643447,ημέρα,μέρα,μέρα,ἡμέραν,day
ἡμέρα,2,unigram,feminine,nominative,plural,μέρες,17.90678007247445,ημέρες,μέρες,μέρες,ἡμέραι,day
ἡμέρα,65,unigram,feminine,nominative,singular,μέρα,1.5265060852104122,ημέρα,μέρα,μέρα,ἡμέρα,day
ὀφειλέτης,115,unigram,masculine,nominative,singular,φέρανε,1.2013309189107515,,φέρανε,φέρανε,λογαριάζεται,debtor
δαιμόνιον,28,unigram,neuter,accusative,plural,δαιμόνια,191.44390608348823,δαιμόνια,δαιμόνια,δαιμόνια,δαιμόνια,demon
δαιμόνιον,329,unigram,neuter,accusative,singular,δαιμονισμένος,10.966614133901851,δαιμόνιο,δαιμονισμένος,δαιμονισμένος,δαιμόνιον,demon
δαιμόνιον,185,unigram,neuter,nominative,plural,δαιμόνια,103.73792105524053,δαιμόνια,δαιμόνια,δαιμόνια,δαιμόνια,demon
δαιμόνιον,162,unigram,neuter,nominative,singular,δαιμόνιο,4.102699185784235,δαιμόνιο,δαιμόνιο,δαιμόνιο,δαιμόνιον,demon
δηνάριον,304,unigram,neuter,accusative,plural,δηνάρια,7.314967707060357,δηνάρια,δηνάρια,δηνάρια,δηνάρια,denarius (about a day's wages)
δηνάριον,151,unigram,neuter,accusative,singular,δηνάριο,4.463900743449112,δηνάριο,δηνάριο,δηνάριο,δηνάριον,denarius (about a day's wages)
μαθητής,169,unigram,masculine,accusative,plural,μαθητές,166.52768799769706,μαθητές,μαθητές,μαθητές,μαθητάς,disciple
μαθητής,335,unigram,masculine,accusative,singular,αγαπούσε,2.7731246559212375,αγαπούσε,αγαπούσε,αγαπούσε,ἀγαποῦσε,disciple
μαθητής,270,unigram,masculine,nominative,plural,μαθητές,24.408770829792246,μαθητές,μαθητές,μαθητές,μαθηταί,disciple
μαθητής,333,unigram,masculine,nominative,singular,μαθητής,141.19552829415986,μαθητής,μαθητής,μαθητής,μαθητὴς,disciple
νόσος,3,unigram,feminine,accusative,plural,,,αρρώστιες,,,νόσους,disease
νόσος,70,unigram,feminine,accusative,singular,ασθένεια,1.4173535233007863,ασθένεια,,,,disease
περιστερά,94,unigram,feminine,accusative,plural,περιστέρια,1.0721145748708139,πουλούσαν,περιστέρια,περιστέρια,ἐπωλοῦσαν,dove
περιστερά,52,unigram,feminine,accusative,singular,περιστέρι,2.661633639414508,περιστέρι,περιστέρι,περιστέρι,περιστερὰ,dove
οὖς,139,unigram,neuter,accusative,plural,αυτιά,6.675420667508213,αυτιά,αυτιά,αυτιά,ἀκούῃ,ear
οὖς,277,unigram,neuter,accusative,singular,αυτί,3.818766572819397,αυτί,αυτί,αυτί,αὐτί,ear
σεισμός,192,unigram,masculine,nominative,plural,σεισμοί,1.0901581188297433,,σεισμοί,σεισμοί,σεισμοὶ,"earthquakes, storm"
σεισμός,61,unigram,masculine,nominative,singular,Ξαφνικά,2.2548132301324912,ξάφνου,Ξαφνικά,Ξαφνικά,ἔγινε,"earthquakes, storm"
τέλος,267,unigram,neuter,accusative,singular,τέλος,2.1045874504492064,,τέλος,τέλος,τέλος,end
αἰών,231,unigram,masculine,accusative,plural,βασιλέψει,1.7605181334772046,,βασιλέψει,βασιλέψει,,eternity
αἰών,300,unigram,masculine,accusative,singular,ποτέ,1.7074270852012188,αιώνα,ποτέ,ποτέ,αἰωνίως,eternity
ὀφθαλμός,20,unigram,masculine,accusative,plural,μάτια,446.3634221724802,μάτια,μάτια,μάτια,μάτια,eye
ὀφθαλμός,62,unigram,masculine,nominative,plural,μάτια,259.2674594391585,μάτια,μάτια,μάτια,μάτια,eye
ὀφθαλμός,297,unigram,masculine,nominative,singular,,,μάτι,μάτια,μάτια,μάτι,eye
πρόσωπον,180,unigram,neuter,accusative,singular,πρόσωπο,9.071256575678422,πρόσωπο,πρόσωπο,πρόσωπο,πρόσωπον,face
γεωργός,246,unigram,masculine,nominative,plural,γεωργοί,5.092046695358408,γεωργοί,γεωργοί,γεωργοί,,"farmer, tenant"
γεωργός,48,unigram,masculine,nominative,singular,αμπελουργός,1.3488668711007852,γεωργός,αμπελουργός,αμπελουργός,,"farmer, tenant"
πατήρ,186,unigram,masculine,accusative,plural,πατέρες,1.2152981714138864,πατέρες,,,,father
πατήρ,303,unigram,masculine,accusative,singular,Πατέρα,1.7203801993004924,Πατέρα,Πατέρα,Πατέρα,Πατέρα,father
πατήρ,312,unigram,masculine,nominative,plural,,,πατέρες,πρόγονοί,πρόγονοί,πατέρες,father
πατήρ,175,unigram,masculine,nominative,singular,Πατέρας,110.05271773306899,Πατέρας,Πατέρας,Πατέρας,Πατέρας,father
σύνδουλος,316,unigram,masculine,nominative,plural,σύνδουλοί,1.2013630877021924,,σύνδουλοί,σύνδουλοί,,"fellow-servant, colleague"
ἀγρός,328,unigram,masculine,accusative,plural,χωράφια,5.057459883947143,χωράφια,χωράφια,χωράφια,ὕπαιθρον,field
ἀγρός,37,unigram,masculine,accusative,singular,χωράφι,93.92483134599499,χωράφι,χωράφι,χωράφι,χωράφι,field
δάκτυλος,224,unigram,masculine,accusative,plural,δάχτυλά,1.0960768946513286,δάχτυλά,,,,finger
δάκτυλος,168,unigram,masculine,accusative,singular,δάχτυλό,1.5477987497797372,δάχτυλό,δάχτυλό,δάχτυλό,δάκτυλό,finger
ἰχθύς,143,unigram,masculine,accusative,plural,ψάρια,2.6188846043076337,ψάρια,ψάρια,ψάρια,ψάρια,fish
ἰχθύς,179,unigram,masculine,accusative,singular,ψάρι,5.186971129155454,ψάρι,ψάρι,ψάρι,ψάρι,fish
