lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_54_translation,version_29_translation,version_4_translation,version_34_translation,version_51_translation,version_52_translation,version_63_translation,version_10_translation,version_35_translation,version_45_translation,version_6_translation,version_39_translation,version_36_translation,version_31_translation,version_50_translation,version_60_translation,version_14_translation,version_22_translation,version_59_translation,version_13_translation,version_2_translation,version_16_translation,version_62_translation,version_44_translation,version_11_translation,version_42_translation,version_41_translation,version_46_translation,version_40_translation,version_43_translation,version_53_translation,version_32_translation,version_9_translation,version_7_translation,version_38_translation,version_15_translation,version_48_translation,version_26_translation,version_12_translation,version_57_translation,version_24_translation,version_61_translation,version_19_translation,version_25_translation,version_30_translation,version_21_translation,version_49_translation,version_47_translation,version_3_translation,version_17_translation,version_37_translation,version_28_translation,version_20_translation,version_33_translation,version_1_translation,version_5_translation,version_18_translation,version_64_translation,version_55_translation,version_27_translation,version_23_translation,version_56_translation,version_58_translation,version_8_translation,english_translation
λόγος,326,unigram,masculine,nominative,singular,word,1.5676907047950056e+22,,word,word,word,word,word,word,message,This,dvar,word,word,word,word,word,word,word,true,word,message,word,worde,word,word,word,word,message,,word,word,,word,message,word,word,word,true,word,word,word,teaching,word,true,teaching,word,true,word,,Word,In,spread,word,true,word,word,word,true,word,,word,word,message,word,message,word
ἔργον,48,unigram,neuter,accusative,plural,works,4.803698176748259e+20,,works,works,works,works,works,works,do,Father,pe'ulot,works,works,deeds,works,works,works,works,things,works,do,works,workes,works,works,works,works,works,,works,works,,works,do,works,works,doing,works,works,works,works,do,works,things,Father,works,things,works,,works,do,works,works,things,works,works,works,things,works,,works,works,miracles,works,do,work
ἔργον,107,unigram,neuter,accusative,singular,work,44831481220.56405,,work,work,deed,work,work,work,beautiful,,ma'aseh,work,,work,work,work,work,work,bothering,work,work,work,worke,work,work,work,work,criticize,,work,work,,work,beautiful,thing,,me,criticizing,work,work,work,me,work,bothering,troubling,work,bothering,work,,work,work,work,work,bothering,deed,work,work,bothering,work,,work,work,do,work,beautiful,work
ἔργον,330,unigram,neuter,nominative,plural,works,61932745339.18588,,works,works,deeds,works,works,works,because,things,ma'asim,works,works,deeds,works,works,works,works,deeds,works,show,works,workes,works,works,works,works,light,,works,works,,works,because,actions,works,actions,doing,works,works,works,show,works,deeds,show,deeds,deeds,works,,works,actions,works,works,deeds,deeds,works,works,deeds,works,,works,works,Light,works,because,work
ἐργάτης,166,unigram,masculine,nominative,plural,workers,20.586246312505242,,laborers,workers,plentiful,,,workmen,crop,workers,few,,plentiful,plentiful,,,,,workers,,ripe,workers,labourers,,,workmen,few,workers,,laborers,,,,crop,workers,plentiful,workers,workers,labourers,labourers,workers,workers,,workers,workers,plentiful,workers,,,laborers,few,workers,laborers,workers,plentiful,,abundant,workers,workmen,,labourers,workers,harvesters,plentiful,crop,worker
ἐργάτης,237,unigram,masculine,nominative,singular,worthy,45.47652584702756,,worthy,,worthy,labourer,labourer,workman,stick.Workers,given,worthy,Don,worker,deserves,worthy,,labourer,,should,laborer,working,,,labourer,,workman,worthy,,,worthy,,,,stick.Workers,worker,worker,worker,Don,worthy,worthy,worthy,worker,laborer,should,worker,worker,should,,,,,,worthy,should,deserving,laborer,worker,should,workman,,worthy,worker,,worker,stick.Workers,worker
μέριμνα,188,unigram,feminine,nominative,plural,desire,1.3143842087532478,,,,,,,,desire,desires,,,,,,,,,,,troubles,,,,,,,,,,,,,desire,,,,,,,,worries,,,wanting,,,,,,deceitful,,,,,,,,,,,,seduction,,desire,"worry, concern, desire"
μέριμνα,164,unigram,feminine,nominative,singular,desire,1.3143842087532478,,,,,,,,desire,,,,,,,,,,,,,,,,,,,lure,,,,,,desire,,,,,,,,worries,,,,,,,,,deceitful,,,,,,,,,,,,,,desire,"worry, concern, desire"
ἔτος,284,unigram,neuter,accusative,plural,years,3.1451923915542315e+38,,years,years,years,years,years,years,years,years,years,years,years,years,years,years,years,years,years,years,years,years,yeeres,years,years,years,years,years,,years,years,,years,years,years,years,years,years,years,years,years,years,years,years,years,years,years,years,,years,years,years,years,years,years,years,years,years,years,old—and,years,years,years,years,years,year
ἔτος,199,unigram,neuter,accusative,singular,year,17211283562970.994,,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,yeere,year,year,yearly,year,year,,year,year,,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,,year,year,year,year,year,year,year,year,year,,,year,year,year,year,year,year
ζεῦγος,278,unigram,neuter,accusative,singular,pair,1.7275189949993193,,,,,,,,,sacrifice,,,,,,,,,pair,,kill.,,,,,,,,,,,,,,pair,,,,,,,,,pair,sacrifice,,pair,,,,,,,pair,,,,pair,,,,,,,,"yoke, pair"
