lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2073_translation,version_2074_translation,version_2075_translation,english_translation
ἀρχιερεύς,71,unigram,masculine,accusative,singular,,,alufa,àlùfáà,Olórí,chief priest
ἀρχιερεύς,141,unigram,masculine,nominative,plural,,,alufa,àlùfáà,,chief priest
ἀρχιερεύς,289,unigram,masculine,nominative,singular,,,alufa,àlùfáà,Alufaa,chief priest
παῖς,276,unigram,masculine,accusative,plural,gidigidi,1.0938645847928419,gidigidi,,,child
παῖς,57,unigram,masculine,accusative,singular,,,,tàntàn,wárápá,child
τέκνον,387,unigram,neuter,accusative,plural,ọmọ,67.32117472575598,ọmọ,ọmọ,ọmọ,child
τέκνον,208,unigram,neuter,accusative,singular,,,pipa,arákùnrin,òbí,child
τέκνον,20,unigram,neuter,nominative,plural,,,pipa,Arákùnrin,baba,child
τέκνον,223,unigram,neuter,nominative,singular,Ọmọ,6.408216699758102,Ọmọ,Ọmọ,Ọmọ,child
παιδίον,18,unigram,neuter,accusative,plural,,,lẹkun,ọmọdé,ọmọde,child
παιδίον,106,unigram,neuter,accusative,singular,,,ọmọ-ọwọ,ọmọ,ọmọde,child
παιδίον,200,unigram,neuter,nominative,plural,,,,ọmọdé,ọmọde,child
παιδίον,48,unigram,neuter,nominative,singular,,,ọmọ,wọ,ọmọde,child
πόλις,212,unigram,feminine,accusative,plural,ìlú,5.880663061000629,ilu,ìlú,ìlú,city
πόλις,75,unigram,feminine,accusative,singular,ìlú,25.535784559182623,ilu,ìlú,ìlú,city
πύλη,310,unigram,feminine,nominative,plural,,,,borí,ìjọ,city gate
πύλη,240,unigram,feminine,nominative,singular,,,hihá,tóóró,ẹnu,city gate
χιτών,137,unigram,masculine,accusative,plural,meji,1.4118363747855358,meji,ẹ̀wù,meji,"clothing, undergarments"
χιτών,35,unigram,masculine,accusative,singular,,,àwọtẹlẹ,àwọ̀tẹ́lẹ̀,àwọ̀tẹ́lẹ̀,"clothing, undergarments"
ἱμάτιον,154,unigram,neuter,accusative,plural,aṣọ,19.58754489378631,aṣọ,aṣọ,aṣọ,coat
ἱμάτιον,153,unigram,neuter,accusative,singular,aṣọ,3.221414444916567,aṣọ,aṣọ,ẹ̀wù,coat
ἐντολή,95,unigram,feminine,accusative,plural,òfin,4.214460223488741,ofin,òfin,òfin,commandment
ἐντολή,93,unigram,feminine,accusative,singular,,,ofin,òfin,àṣẹ,commandment
συνέδριον,369,unigram,neuter,accusative,plural,,,igbimọ,Sinagọgu,kíyèsára,council
συνέδριον,61,unigram,neuter,accusative,singular,,,igbimọ,jọ.Wọ́n,ìgbìmọ̀,council
χώρα,337,unigram,feminine,accusative,singular,,,ilẹ,Gadara,sí,"country, countryside"
ὄχλος,67,unigram,masculine,accusative,plural,,,ijọ,ènìyàn,eniyan,crowd
ὄχλος,12,unigram,masculine,accusative,singular,,,enia,ènìyàn,eniyan,crowd
ὄχλος,118,unigram,masculine,nominative,plural,,,enia,ènìyàn,eniyan,crowd
ὄχλος,327,unigram,masculine,nominative,singular,,,enia,ènìyàn,eniyan,crowd
θυγάτηρ,135,unigram,feminine,nominative,plural,,,yiju,yíjú,ọmọbinrin,daughter
θυγάτηρ,363,unigram,feminine,nominative,singular,,,ọmọbinrin,ọmọbìnrin,ọdọmọbinrin,daughter
ἡμέρα,87,unigram,feminine,accusative,plural,,,ijọ,ọjọ́,ọjọ́,day
ἡμέρα,99,unigram,feminine,accusative,singular,,,tẹmpili,lójoojúmọ́,lojoojumọ,day
ἡμέρα,2,unigram,feminine,nominative,plural,,,ọjọ,ọjọ́,ọjọ́,day
ἡμέρα,77,unigram,feminine,nominative,singular,,,ọjọ,ọjọ́,ọjọ́,day
ὀφειλέτης,292,unigram,masculine,nominative,plural,,,wólu,Siloamu,wólù,debtor
ὀφειλέτης,144,unigram,masculine,nominative,singular,"10,000",1.0960524252565438,,"10,000",,debtor
δαιμόνιον,36,unigram,neuter,accusative,plural,,,èṣu,ẹ̀mí,èṣù,demon
δαιμόνιον,380,unigram,neuter,accusative,singular,èṣù,1.0604993013804873,èṣu,èṣù,èṣù,demon
δαιμόνιον,225,unigram,neuter,nominative,plural,èṣù,1.4748797012398882,ẹmi,èṣù,èṣù,demon
δαιμόνιον,198,unigram,neuter,nominative,singular,,,ẹmi,ẹ̀mí,èṣù,demon
δηνάριον,354,unigram,neuter,accusative,plural,idẹ,1.8998430127670054,idẹ,idẹ,,denarius (about a day's wages)
δηνάριον,186,unigram,neuter,accusative,singular,,,idẹ,owó,fadaka,denarius (about a day's wages)
