lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_934_translation,version_935_translation,version_936_translation,version_937_translation,english_translation
παιδίον,13,unigram,neuter,accusative,plural,bato,1.8457516705423622,bato,bato,bato,,child
παιδίον,81,unigram,neuter,accusative,singular,umwana,63.43766364005242,umwana,umwana,umwana,umwana,child
παιδίον,156,unigram,neuter,nominative,plural,bato,2.743688127827903,bato,bato,,abana,child
παιδίον,36,unigram,neuter,nominative,singular,umwana,1.5028071066087891,umwana,umwana,mwana,umwana,child
πόλις,164,unigram,feminine,accusative,plural,mijyi,1.692673065723603,mijyi,mijyi,midugudu,imigi,city
πόλις,59,unigram,feminine,accusative,singular,mujyi,11.79351921983952,mujyi,mujyi,mudugudu,mugi,city
πύλη,186,unigram,feminine,nominative,singular,n'inzira,1.5321472707168147,n'inzira,n'inzira,,ufunganye,city gate
χιτών,103,unigram,masculine,accusative,plural,,,,,abiri,amakanzu,"clothing, undergarments"
χιτών,25,unigram,masculine,accusative,singular,ikanzu,5.090456964897102,,,ikanzu,ikanzu,"clothing, undergarments"
ἱμάτιον,117,unigram,neuter,accusative,plural,imyambaro,1.9132541780421395,imyambaro,imyambaro,imyenda,imyambaro,coat
ἱμάτιον,116,unigram,neuter,accusative,singular,umwitero,3.7886390249799544,umwitero,umwitero,,igishura,coat
ἐντολή,73,unigram,feminine,accusative,plural,amategeko,9.057462021730384,amategeko,amategeko,amategeko,amategeko,commandment
ἐντολή,71,unigram,feminine,accusative,singular,,,mukihambira,mukihambira,itegeko,itegeko,commandment
συνέδριον,288,unigram,neuter,accusative,plural,nkiko,1.4461786752591426,nkiko,nkiko,nkiko,inkiko,council
συνέδριον,46,unigram,neuter,accusative,singular,urukiko,1.1226420998431776,urukiko,urukiko,bakuru,inama,council
χώρα,260,unigram,feminine,accusative,singular,gihugu,11.142901219494478,gihugu,gihugu,gihugu,gihugu,"country, countryside"
ὄχλος,51,unigram,masculine,accusative,plural,y'abantu,1.2546119138593148,y'abantu,y'abantu,abantu,rubanda,crowd
ὄχλος,8,unigram,masculine,accusative,singular,rubanda,6.231906645005053,rubanda,rubanda,abantu,rubanda,crowd
ὄχλος,87,unigram,masculine,nominative,plural,y'abantu,2.1578040962804867,y'abantu,y'abantu,Abantu,benshi,crowd
ὄχλος,250,unigram,masculine,nominative,singular,,,y'abantu,y'abantu,benshi,benshi,crowd
θυγάτηρ,282,unigram,feminine,nominative,singular,umukobwa,5.569699381619479,umukobwa,umukobwa,Umukobwa,umukobwa,daughter
ἡμέρα,67,unigram,feminine,accusative,plural,iminsi,120.2812662624472,iminsi,iminsi,iminsi,iminsi,day
ἡμέρα,76,unigram,feminine,accusative,singular,umunsi,1.0099603748030135,umunsi,umunsi,iminsi,munsi,day
ἡμέρα,2,unigram,feminine,nominative,plural,iminsi,1.4905401497526993,,,iminsi,iminsi,day
ἡμέρα,61,unigram,feminine,nominative,singular,umunsi,8.48469332671702,umunsi,umunsi,umunsi,umunsi,day
δαιμόνιον,26,unigram,neuter,accusative,plural,ingabo,1.3282760750714755,ingabo,ingabo,abadayimoni,roho,demon
δαιμόνιον,296,unigram,neuter,accusative,singular,Yahanzweho,2.136851902543606,Yahanzweho,Yahanzweho,dayimoni,roho,demon
δαιμόνιον,174,unigram,neuter,nominative,plural,za,1.370163580539041,za,za,abadayimoni,mbi,demon
δαιμόνιον,155,unigram,neuter,nominative,singular,Satani,1.6354082200953648,Satani,Satani,dayimoni,roho,demon
δηνάριον,274,unigram,neuter,accusative,plural,umwenda,2.6735100501585696,umwenda,umwenda,idenariyo,amadenari,denarius (about a day's wages)
δηνάριον,144,unigram,neuter,accusative,singular,igiceri,2.2337856962825495,igiceri,igiceri,idenariyo,idenari,denarius (about a day's wages)
μαθητής,160,unigram,masculine,accusative,plural,abigishwa,3.6869203585415056,abigishwa,abigishwa,abigishwa,abigishwa,disciple
μαθητής,301,unigram,masculine,accusative,singular,mwigishwa,1.2472388882020786,mwigishwa,mwigishwa,yakundaga,mwigishwa,disciple
μαθητής,245,unigram,masculine,nominative,plural,abigishwa,4.617576750017774,abigishwa,abigishwa,abigishwa,abigishwa,disciple
μαθητής,299,unigram,masculine,nominative,singular,mwigishwa,19.493516006855604,mwigishwa,mwigishwa,mwigishwa,mwigishwa,disciple
νόσος,3,unigram,feminine,accusative,plural,indwara,1.6526322861949914,,,,indwara,disease
νόσος,66,unigram,feminine,accusative,singular,n'ubumuga,2.2284059851816678,n'ubumuga,n'ubumuga,n'ubumuga,icyitwa,disease
περιστερά,86,unigram,feminine,accusative,plural,abacuruzaga,1.8766648951233869,abacuruzaga,abacuruzaga,ifeza,inuma,dove
περιστερά,48,unigram,feminine,accusative,singular,n'inuma,1.756699135186362,n'inuma,n'inuma,n'inuma,inuma,dove
οὖς,134,unigram,neuter,accusative,plural,amatwi,1.6882296706975537,amatwi,amatwi,amatwi,amatwi,ear
οὖς,249,unigram,neuter,accusative,singular,ahirengeye,1.2511216596810237,ahirengeye,ahirengeye,mwijima,ahirengeye,ear
σεισμός,180,unigram,masculine,nominative,plural,hino,1.8943358763215108,hino,hino,hamwe,imitingito,"earthquakes, storm"
σεισμός,57,unigram,masculine,nominative,singular,mwinshi,1.61569043307871,,,,mwinshi,"earthquakes, storm"
τέλος,243,unigram,neuter,accusative,singular,,,,,imperuka,uzakomera,end
αἰών,271,unigram,masculine,accusative,singular,iteka,4.59157298708927,iteka,iteka,iteka,iteka,eternity
ὀφθαλμός,20,unigram,masculine,accusative,plural,amaso,68.76313250754329,amaso,amaso,amaso,amaso,eye
ὀφθαλμός,58,unigram,masculine,nominative,plural,amaso,16.97341617022091,amaso,amaso,amaso,amaso,eye
ὀφθαλμός,268,unigram,masculine,nominative,singular,ijisho,2.74223305899254,ijisho,ijisho,ijisho,ijisho,eye
πρόσωπον,170,unigram,neuter,accusative,singular,ufata,1.2109502143766044,ufata,ufata,wigisha,uvuga,face
λιμός,5,unigram,feminine,nominative,plural,buzatera,1.0595416318177244,,,buzatera,,famine
γεωργός,226,unigram,masculine,nominative,plural,abahinzi,1.3380210543572029,,,,abahinzi,"farmer, tenant"
γεωργός,44,unigram,masculine,nominative,singular,uwuhingira,1.3488668711007852,uwuhingira,uwuhingira,,umuhinzi,"farmer, tenant"
πατήρ,273,unigram,masculine,accusative,singular,Data,80.53938059728289,Data,Data,Data,Data,father
πατήρ,281,unigram,masculine,nominative,plural,sokuruza,1.317826918398225,sokuruza,sokuruza,sekuruza,sogokuruza,father
πατήρ,165,unigram,masculine,nominative,singular,Data,112.94800066128492,Data,Data,Data,Data,father
σύνδουλος,128,unigram,masculine,accusative,plural,abasinzi,1.0960670999999007,,,,abasinzi,"fellow-servant, colleague"
σύνδουλος,77,unigram,masculine,accusative,singular,nakubabariye,1.161328723715616,,,nakubabariye,,"fellow-servant, colleague"
σύνδουλος,285,unigram,masculine,nominative,plural,barababara,1.161328723715616,,,barababara,,"fellow-servant, colleague"
σύνδουλος,100,unigram,masculine,nominative,singular,Nyihanganira,1.0960670999999007,,,Nyihanganira,,"fellow-servant, colleague"
ἀγρός,295,unigram,masculine,accusative,plural,byaro,1.0670799116847147,byaro,byaro,bashiki,isambu,field
ἀγρός,35,unigram,masculine,accusative,singular,umurima,1.1868490553835904,umurima,umurima,,murima,field
δάκτυλος,159,unigram,masculine,accusative,singular,,,,,n'ikiganza,rubavu,finger
ἰχθύς,137,unigram,masculine,accusative,plural,n'amafi,1.20414814195206,n'amafi,n'amafi,,itanu,fish
ἰχθύς,169,unigram,masculine,accusative,singular,ifi,3.583504306805991,ifi,ifi,ifi,yamusaba,fish
δίκτυον,95,unigram,neuter,accusative,plural,,,imitego,imitego,inshundura,inshundura,fishing net
δίκτυον,177,unigram,neuter,accusative,singular,,,umutego,umutego,urushundura,urushundura,fishing net
τροφή,219,unigram,feminine,accusative,plural,,,guhaha,guhaha,kugura,kugura,food
πούς,212,unigram,masculine,accusative,plural,ibirenge,11.631492265797398,ibirenge,ibirenge,ibirenge,ibirenge,foot
πούς,98,unigram,masculine,accusative,singular,ibuye,1.4057204816380129,,,,ibuye,foot
καρπός,162,unigram,masculine,accusative,plural,imbuto,2.6219184159115656,imbuto,imbuto,imbuto,ibyatamurima,"fruit, crop, harvest"
καρπός,209,unigram,masculine,accusative,singular,imbuto,266.2855459878774,imbuto,imbuto,imbuto,imbuto,"fruit, crop, harvest"
πλήρωμα,240,unigram,neuter,accusative,plural,,,,,bwuzura,ibisate,fullness
γενεά,210,unigram,feminine,accusative,singular,,,,,gihe,ab,generation
γενεά,279,unigram,feminine,nominative,plural,,,,,uhereye,kuva,generation
γενεά,133,unigram,feminine,nominative,singular,gihe,1.0720815654273788,gihe,gihe,,gisekuru,generation
δῶρον,272,unigram,neuter,accusative,plural,amaturo,3.4829849939948394,,,amaturo,amaturo,gift
δῶρον,146,unigram,neuter,accusative,singular,ituro,10.705854984831484,ituro,ituro,ituro,ituro,gift
ἡγεμών,154,unigram,masculine,accusative,plural,abami,1.4841222511709318,,,,abami,"governor, ruler"
ἡγεμών,10,unigram,masculine,accusative,singular,biramutangaza,1.2555985597704016,,,,biramutangaza,"governor, ruler"
ἀσπασμός,284,unigram,masculine,accusative,plural,,,bateraniye,bateraniye,kuramukirizwa,kuramukirizwa,greeting
ὁδηγός,4,unigram,masculine,nominative,singular,muhumye,1.1226080485698346,muhumye,muhumye,,bayobozi,guide
θρίξ,82,unigram,feminine,nominative,plural,mitwe,1.749756972025979,,,mitwe,,hair
χείρ,275,unigram,feminine,accusative,plural,ibiganza,205.8284758504482,ibiganza,ibiganza,ibiganza,ibiganza,hand
χείρ,197,unigram,feminine,accusative,singular,,,,,ukuboko,ikiganza,hand
κεφαλή,125,unigram,feminine,accusative,plural,umutwe,1.3761906667726684,,,,umutwe,head
κεφαλή,184,unigram,feminine,accusative,singular,mutwe,1.2502228745677726,mutwe,mutwe,igihanga,umutwe,head
στάχυς,185,unigram,masculine,accusative,plural,anyura,1.0938389104413042,,,,anyura,head of grain
καρδία,29,unigram,feminine,accusative,plural,intungane,2.411055865443073,intungane,intungane,imitima,,heart
καρδία,252,unigram,feminine,accusative,singular,imitima,4.610909043664677,imitima,imitima,imitima,umutima,heart
