lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1796_translation,version_1797_translation,version_1798_translation,version_1799_translation,version_1800_translation,english_translation
τέκνον,174,unigram,neuter,nominative,singular,Poikani,4.133636392761949,poikani,,'Poikani,Poikani,Poikani,child
παιδίον,12,unigram,neuter,accusative,plural,kaltaistensa,1.0973820487273438,senkaltaisten,,,kaltaistensa,kaltaistensa,child
παιδίον,82,unigram,neuter,accusative,singular,lapsen,53.202420440252595,lapsen,,lapsen,lapsen,lapsen,child
παιδίον,155,unigram,neuter,nominative,plural,,,lapset,,,lasten,,child
παιδίον,34,unigram,neuter,nominative,singular,lapsi,53.33853576204749,lapsi,,lapsi,lapsi,lapsi,child
πόλις,165,unigram,feminine,accusative,plural,kaupungeissa,1.1489217940495735,kaupungeita,,kaupunkeja,kaupungeissa,kaupungeissa,city
πόλις,57,unigram,feminine,accusative,singular,kaupunkiin,2147.1014464072787,kaupunkiin,,kaupunkiin,kaupunkiin,kaupunkiin,city
πύλη,186,unigram,feminine,nominative,singular,portti,1.4316129990810817,portti,,portti,vie,portti,city gate
χιτών,106,unigram,masculine,accusative,plural,paitaa,3.0164521170512164,hametta,,ihokasta,paitaa,paitaa,"clothing, undergarments"
χιτών,26,unigram,masculine,accusative,singular,joku,1.1106801240378288,,,joku,paidan,joku,"clothing, undergarments"
ἱμάτιον,122,unigram,neuter,accusative,plural,,,vaatteensa,,vaatteensa,vaatteitaan,vaatteitaan,coat
ἱμάτιον,121,unigram,neuter,accusative,singular,viittaan,1.4700918972768942,,,,viittaan,,coat
ἐντολή,72,unigram,feminine,accusative,plural,käskyni,3.088368032670594,käskyni,,käskyni,,käskyni,commandment
ἐντολή,70,unigram,feminine,accusative,singular,käskyn,200.0247839987075,käskyn,,käskyn,käskyn,käskyn,commandment
συνέδριον,287,unigram,neuter,accusative,plural,,,kavahtakaat,,oikeuksiin,varanne,oikeuden,council
συνέδριον,44,unigram,neuter,accusative,singular,neuvoston,2.4033485551368425,ylimmäiset,,ylipapit,neuvoston,neuvoston,council
χώρα,259,unigram,feminine,accusative,singular,alueelle,1.3450689337930808,maakuntaan,,alueelle,Gerasan,alueelle,"country, countryside"
ὄχλος,49,unigram,masculine,accusative,plural,kansan,1.9211014140599203,kansan,,kansanjoukot,väkijoukon,kansan,crowd
ὄχλος,7,unigram,masculine,accusative,singular,kansaa,1.5776418130211753,kansaa,,kansaa,väkijoukon,kansaa,crowd
ὄχλος,91,unigram,masculine,nominative,plural,kansa,7.148503980763631,kansa,,kansa,joukko,ihmisiä,crowd
ὄχλος,249,unigram,masculine,nominative,singular,kansa,3.046703371061873,kansa,,kansa,suuri,väkijoukko,crowd
θυγάτηρ,281,unigram,feminine,nominative,singular,tytär,8.762106768356295,tytär,,tytär,tytär,tytär,daughter
ἡμέρα,65,unigram,feminine,accusative,plural,päivän,1.4797018916152536,päivän,,päivän,päivän,päivän,day
ἡμέρα,76,unigram,feminine,accusative,singular,päivä,12.971185097973661,päivä,,päivä,päivä,päivä,day
ἡμέρα,2,unigram,feminine,nominative,plural,päivät,2.962720500520627,päivät,,päivät,aika,päivät,day
ἡμέρα,59,unigram,feminine,nominative,singular,päivä,50.107766549670316,päivä,,päivä,päivä,päivä,day
ὀφειλέτης,112,unigram,masculine,nominative,singular,kymmenentuhatta,1.2013309189107515,kymmenentuhatta,,kymmenentuhatta,,,debtor
δαιμόνιον,27,unigram,neuter,accusative,plural,riivaajia,1.5022302285950304,perkeleitä,,riivaajia,henkiä,riivaajia,demon
δαιμόνιον,298,unigram,neuter,accusative,singular,riivaaja,6.432937793933676,perkele,,riivaaja,henki,riivaaja,demon
δαιμόνιον,176,unigram,neuter,nominative,plural,riivaajat,2.4432058727825923,perkeleet,,riivaajat,henget,riivaajat,demon
δαιμόνιον,154,unigram,neuter,nominative,singular,riivaaja,2.903029802982868,perkele,,riivaaja,henki,riivaaja,demon
δηνάριον,274,unigram,neuter,accusative,plural,denaaria,3.0381706112620606,penninkiä,,denaria,denaaria,denaaria,denarius (about a day's wages)
δηνάριον,145,unigram,neuter,accusative,singular,denaarin,2.018259333914437,,,denarin,denaarin,denaarin,denarius (about a day's wages)
